Group size: 16616                                                  Group size: 17681                                                  Group size: 18817                                                  Group size: 28577
[0.082154] Пряников Павел Николаевич                               [0.001074] Лукьянова Елена Анатольевна                             [0.006504] Петречук Лариса Леонидовна                              [0.015303] Сайдашев Радик Ромович
[0.082085] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.001064] Семенов Игорь Вячеславович                              [0.006336] Колганов Антон Юрьевич                                  [0.014959] Брусиловский Максим Анатольевич
[0.081970] Семенов Владимир Матвеевич                              [0.001026] Романовский Владимир Геннадьевич                        [0.006276] Шнейдер Михаил Яковлевич                                [0.014709] Дегтярь Иван Васильевич
[0.081588] Давыдов Андрей Владимирович                             [0.001025] Смирнов Сергей Сергеевич                                [0.006261] Васильева Елена Борисовна                               [0.012988] Бадыкова Фиалка Ахмадеевна
[0.081181] Баласанов Андрей Евгеньевич                             [0.001018] Галямина Юлия Евгеньевна                                [0.006129] Стариков Иван Валентинович                              [0.012674] Ободина Стелла Юрьевна
[0.080026] Шалимова Надежда Валерьевна                             [0.001018] Моша Юрий Игоревич                                      [0.006103] Кузнецов Андрей Владимирович                            [0.012674] Поткин (Басманов) Владимир Анатольевич
[0.079862] Кузин Евгений Андреевич                                 [0.001018] Удальцова Анастасия Олеговна                            [0.005814] Ляскин Николай Николаевич                               [0.011653] Поляков Анатолий Викторович
[0.079544] Эсауленко Дмитрий Николаевич                            [0.001018] Албуров Георгий Валентинович                            [0.005714] Галямина Юлия Евгеньевна                                [0.010882] Кудрявцев Федор Александрович
[0.078572] Лавров Андрей Валерьевич                                [0.001003] Пархоменко Сергей Борисович                             [0.005658] Овдиенко Игорь Геннадьевич                              [0.010767] Бурашников Дмитрий Андреевич
[0.078405] Литвинов Георгий Александрович (Артём Драгунов)         [0.000972] Козырев Олег Вилисович                                  [0.005570] Бескоровайный Алексей Викторович                        [0.010610] Терегулов Артур Ринатович
[0.078043] Виноградов Сергей Николаевич                            [0.000962] Ренёв Денис Владимирович                                [0.005563] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.010239] Семенов Владимир Матвеевич
[0.077950] Смирнов Сергей Сергеевич                                [0.000961] Прохоров (Шинфейн) Максим Геннадьевич                   [0.005363] Богомолов Юрий Александрович                            [0.009845] Первушин Александр Сергеевич
[0.077933] Сухоруков Дмитрий Владимирович                          [0.000954] Верзилов Петр Юрьевич                                   [0.005254] Смирнов Сергей Сергеевич                                [0.009386] Мухин Юрий Игнатьевич
[0.075696] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.000912] Лебедев Константин Владимирович                         [0.005125] Сухоруков Дмитрий Владимирович                          [0.009118] Зорин Константин Игоревич
[0.073899] Косякин Константин Юрьевич                              [0.000904] Первушин Александр Сергеевич                            [0.004713] Брусиловский Максим Анатольевич                         [0.009111] Эсауленко Дмитрий Николаевич
[0.073873] Глускин Владимир Александрович                          [0.000870] Овдиенко Игорь Геннадьевич                              [0.004503] Семенов Владимир Матвеевич                              [0.009100] Курамшин Владимир Вячеславович
[0.073126] Сайдашев Радик Ромович                                  [0.000870] Марянин Игорь Сергеевич                                 [0.004497] Терегулов Артур Ринатович                               [0.008932] Баласанов Андрей Евгеньевич
[0.070284] Студенова (Пелевина) Наталья Владиславовна              [0.000856] Дзядко Филипп Викторович                                [0.004193] Баласанов Андрей Евгеньевич                             [0.008709] Иванов Андрей Геннадьевич
[0.069155] Блиндул Алексей Валерьевич                              [0.000848] Шалимова Надежда Валерьевна                             [0.004145] Шалимова Надежда Валерьевна                             [0.008244] Стефанов Борис Александрович
[0.067076] Курамшин Владимир Вячеславович                          [0.000848] Янкаускас Константин Стасисович                         [0.004138] Головин Дмитрий Александрович                           [0.008018] Самсонов Артём Анатольевич
[0.061328] Терегулов Артур Ринатович                               [0.000848] Савостин Михаил Олегович                                [0.003961] Прохоров (Шинфейн) Максим Геннадьевич                   [0.007890] Спорыхина Ульяна Викторовна
[0.061146] Воробьев Станислав Анатольевич                          [0.000847] Русакова Елена Леонидовна                               [0.003842] Митюшкина Надежда Львовна                               [0.007002] Шулипа Юрий Юрьевич
[0.060963] Семенов Игорь Вячеславович                              [0.000845] Головин Дмитрий Александрович                           [0.003459] Доможиров Евгений Валерьевич                            [0.006780] Чупров Алексей Геннадьевич
[0.060750] Ободина Стелла Юрьевна                                  [0.000827] Кашин Олег Владимирович                                 [0.003401] Щербаков Александр Вениаминович                         [0.006339] Марянин Игорь Сергеевич
[0.059983] Иванов Андрей Геннадьевич                               [0.000809] Безруких Олег Анатольевич                               [0.003400] Гарначук Владимир Федорович                             [0.006283] Малышев Владимир Эдуардович
[0.059201] Прохоров (Шинфейн) Максим Геннадьевич                   [0.000793] Коровин Вадим Александрович                             [0.003334] Глускин Владимир Александрович                          [0.006220] Сухарева Татьяна Викторовна
[0.058133] Мухин Юрий Игнатьевич                                   [0.000792] Малышев Владимир Эдуардович                             [0.003077] Косякин Константин Юрьевич                              [0.006190] Семенов Игорь Вячеславович
[0.056807] Колганов Антон Юрьевич                                  [0.000735] Крашенинников Федор Геннадиевич                         [0.003075] Кузин Евгений Андреевич                                 [0.006077] Демидов Михаил Александрович
[0.054386] Шулипа Юрий Юрьевич                                     [0.000733] Иванов Андрей Геннадьевич                               [0.003006] Моша Юрий Игоревич                                      [0.005917] Кузнецов Андрей Владимирович
[0.053789] Моша Юрий Игоревич                                      [0.000700] Жиляев Арсений Александрович                            [0.002823] Первушин Александр Сергеевич                            [0.005000] Барабаш Кирилл Владимирович
[0.053514] Агишев Ирек Абдулхакович                                [0.000678] Прибыловский Владимир Валерианович                      [0.002750] Стефанов Борис Александрович                            [0.004908] Крылов Олег Анатольевич
[0.051142] Кудрявцев Федор Александрович                           [0.000623] Богомолов Юрий Александрович                            [0.002615] Ренёв Денис Владимирович                                [0.004666] Давыденко Денис Вячеславович
[0.050687] Стефанов Борис Александрович                            [0.000622] Наганов Владислав Игоревич                              [0.002587] Гаврилов Андрей Игоревич                                [0.004636] Павлов Владимир Георгиевич
[0.050155] Павлов Владимир Георгиевич                              [0.000621] Матвеев Михаил Николаевич                               [0.002405] Шулипа Юрий Юрьевич                                     [0.004538] Гаврилов Андрей Игоревич
[0.049853] Самсонов Артём Анатольевич                              [0.000566] Осенин Владимир Олегович                                [0.002316] Прибыловский Владимир Валерианович                      [0.004509] Воробьев Станислав Анатольевич
[0.048899] Гаврилов Андрей Игоревич                                [0.000566] Гуляев Сергей Владимирович                              [0.002312] Иванов Андрей Геннадьевич                               [0.004508] Крюков Василий Анатольевич
[0.048784] Первушин Александр Сергеевич                            [0.000566] Шнейдер Михаил Яковлевич                                [0.002284] Эсауленко Дмитрий Николаевич                            [0.004481] Агишев Ирек Абдулхакович
[0.046479] Сухарева Татьяна Викторовна                             [0.000514] Билунов Денис Борисович                                 [0.002229] Мыльникова Марина Сергеевна                             [0.004298] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)
[0.046052] Марянин Игорь Сергеевич                                 [0.000509] Езеев Федор Андреевич                                   [0.002151] Мокшанов Александр Александрович                        [0.004266] Мыльникова Марина Сергеевна
[0.045475] Василенко Павел Владимирович                            [0.000396] Чупров Алексей Геннадьевич                              [0.002094] Чернов Дмитрий Валерьевич                               [0.003968] Каржаева Неонила Васильевна
[0.045302] Давыденко Денис Вячеславович                            [0.000396] Гарначук Владимир Федорович                             [0.002028] Романовский Владимир Геннадьевич                        [0.003459] Колганов Антон Юрьевич
[0.041536] Малышев Владимир Эдуардович                             [0.000396] Мицкевич Владислав Рудольфович                          [0.001959] Крылов Олег Анатольевич                                 [0.003401] Мицкевич Владислав Рудольфович
[0.040097] Демидов Михаил Александрович                            [0.000339] Панибратченко Андрей Валерьевич                         [0.001932] Семенов Игорь Вячеславович                              [0.002808] Виноградов Сергей Николаевич
[0.039848] Мицкевич Владислав Рудольфович                          [0.000288] Бескоровайный Алексей Викторович                        [0.001929] Малышев Владимир Эдуардович                             [0.002274] Шатов Станислав Николаевич
[0.038670] Крылов Олег Анатольевич                                 [0.000283] Каржаева Неонила Васильевна                             [0.001836] Самсонов Артём Анатольевич                              [0.002181] Шалимова Надежда Валерьевна
[0.034074] Мыльникова Марина Сергеевна                             [0.000283] Доможиров Евгений Валерьевич                            [0.001713] Павлов Владимир Георгиевич                              [0.002004] Панибратченко Андрей Валерьевич
[0.034047] Прибыловский Владимир Валерианович                      [0.000226] Ободина Стелла Юрьевна                                  [0.001690] Блиндул Алексей Валерьевич                              [0.001943] Савостин Михаил Олегович
[0.033715] Романовский Владимир Геннадьевич                        [0.000197] Надеев Анджей Рашидович                                 [0.001587] Чупров Алексей Геннадьевич                              [0.001713] Надеев Анджей Рашидович
[0.030775] Шатов Станислав Николаевич                              [0.000115] Ляскин Николай Николаевич                               [0.001504] Марянин Игорь Сергеевич                                 [0.001507] Василенко Павел Владимирович
[0.030055] Чупров Алексей Геннадьевич                              [0.000114] Некрасов Дмитрий Александрович                          [0.001298] Ободина Стелла Юрьевна                                  [0.001473] Будникова Софья Владимировна
[0.029137] Савостин Михаил Олегович                                [0.000113] Митюшкина Надежда Львовна                               [0.001163] Панибратченко Андрей Валерьевич                         [0.001416] Сухоруков Дмитрий Владимирович
[0.028764] Каржаева Неонила Васильевна                             [0.000113] Блиндул Алексей Валерьевич                              [0.000941] Мицкевич Владислав Рудольфович                          [0.001348] Романовский Владимир Геннадьевич
[0.022198] Городенцев Андрей Геннадьевич                           [0.000113] Мокшанов Александр Александрович                        [0.000780] Каржаева Неонила Васильевна                             [0.001027] Глускин Владимир Александрович
[0.020393] Панибратченко Андрей Валерьевич                         [0.000057] Доброхотов Роман Александрович                          [0.000643] Надеев Анджей Рашидович                                 [0.000938] Прохоров (Шинфейн) Максим Геннадьевич
[0.013508] Надеев Анджей Рашидович                                 [0.000057] Косякин Константин Юрьевич                              [0.000497] Савостин Михаил Олегович                                [0.000383] Городенцев Андрей Геннадьевич
