Group size: 13106                                                  Group size: 14154                                                  Group size: 16452                                                  Group size: 17632                                                  Group size: 20347
[0.130718] Будникова Софья Владимировна                            [0.008208] Шаргунов Сергей Александрович                           [0.020078] Щербаков Александр Вениаминович                         [0.001806] Ашурков Владимир Львович                                [0.058536] Бондарик Николай Николаевич
[0.130403] Доможиров Евгений Валерьевич                            [0.007904] Лурье Олег Анатольевич                                  [0.019751] Гарначук Владимир Федорович                             [0.001758] Яшин (Ясин) Игорь Геннадьевич                           [0.056195] Николаев Александр Александрович
[0.130293] Александрова-Зорина Елизавета Борисовна                 [0.007633] Осенин Владимир Олегович                                [0.019731] Студенова (Пелевина) Наталья Владиславовна              [0.001741] Власов Сергей Игоревич                                  [0.055504] Витухновская Алина Александровна
[0.129537] Ляскин Николай Николаевич                               [0.007322] Витухновская Алина Александровна                        [0.018461] Васильева Елена Борисовна                               [0.001702] Сахнин Алексей Викторович                               [0.055000] Волкова Елена Ивановна
[0.129426] Верзилов Петр Юрьевич                                   [0.007296] Верзилов Петр Юрьевич                                   [0.018199] Тюрин Андрей Владимирович                               [0.001701] Колесников Сергей Владимирович                          [0.053971] Бескоровайный Алексей Викторович
[0.129385] Козырев Олег Вилисович                                  [0.007107] Мирзоев Владимир Владимирович                           [0.017854] Пряников Павел Николаевич                               [0.001647] Будрайтскис Илья Борисович                              [0.052476] Васильева Елена Борисовна
[0.128125] Рафаилов Георгий Георгиевич                             [0.007027] Лукьянова Елена Анатольевна                             [0.017334] Холмогорова Наталия Леонидовна                          [0.001645] Лоскутов Артем Александрович                            [0.050969] Щербаков Александр Вениаминович
[0.124362] Чернов Дмитрий Валерьевич                               [0.006564] Зорин Константин Игоревич                               [0.017260] Ренёв Денис Владимирович                                [0.001644] Яшин Илья Валерьевич                                    [0.050187] Косякин Константин Юрьевич
[0.122536] Стариков Иван Валентинович                              [0.006553] Быстров Андрей Сергеевич                                [0.016990] Литвинов Георгий Александрович (Артём Драгунов)         [0.001623] Стефанов Борис Александрович                            [0.050122] Студенова (Пелевина) Наталья Владиславовна
[0.122278] Доброхотов Роман Александрович                          [0.006445] Колганов Антон Юрьевич                                  [0.016764] Поткин (Белов) Александр Анатольевич                    [0.001588] Глускин Владимир Александрович                          [0.045082] Яшин (Ясин) Игорь Геннадьевич
[0.121916] Поляков Анатолий Викторович                             [0.006421] Горник Александр Львович                                [0.016752] Давыдов Андрей Владимирович                             [0.001532] Литвинов Георгий Александрович (Артём Драгунов)         [0.044987] Блиндул Алексей Валерьевич
[0.121739] Левшиц Николай Дмитриевич                               [0.006341] Езеев Федор Андреевич                                   [0.016716] Колчинцев Вадим Валерьевич                              [0.001477] Самсонов Артём Анатольевич                              [0.044674] Рафаилов Георгий Георгиевич
[0.120364] Аникин Сергей Владимирович                              [0.006285] Кузнецов Андрей Владимирович                            [0.015747] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.001454] Левшиц Николай Дмитриевич                               [0.041066] Головин Дмитрий Александрович
[0.119322] Дегтярь Иван Васильевич                                 [0.006235] Крашенинников Федор Геннадиевич                         [0.015670] Будрайтскис Илья Борисович                              [0.001425] Гудков Дмитрий Геннадьевич                              [0.039117] Левченко Екатерина Валентиновна
[0.118733] Бадыкова Фиалка Ахмадеевна                              [0.006225] Васильева Елена Борисовна                               [0.015370] Мокшанов Александр Александрович                        [0.001422] Гребнева Ирина Георгиевна                               [0.038395] Путенихин Дмитрий Викторович (Матвей Крылов)
[0.118367] Шаргунов Сергей Александрович                           [0.006063] Отставных Валерий Владимирович                          [0.015193] Дегтярь Иван Васильевич                                 [0.001419] Горник Александр Львович                                [0.036867] Мокшанов Александр Александрович
[0.116936] Колчинцев Вадим Валерьевич                              [0.005662] Сухоруков Дмитрий Владимирович                          [0.015172] Аникин Сергей Владимирович                              [0.001417] Романова Ольга Евгеньевна                               [0.034875] Скалаух Иван Сергеевич
[0.114709] Зорин Константин Игоревич                               [0.005533] Билунов Денис Борисович                                 [0.014777] Курамшин Владимир Вячеславович                          [0.001411] Газарян Сурен Владимирович                              [0.032891] Ренёв Денис Владимирович
[0.113485] Бурашников Дмитрий Андреевич                            [0.005515] Коровин Вадим Александрович                             [0.013797] Шалимов Роман Николаевич                                [0.001363] Кавказский Николай Юрьевич                              [0.029802] Чернов Дмитрий Валерьевич
[0.111416] Скалаух Иван Сергеевич                                  [0.005474] Власов Сергей Игоревич                                  [0.013765] Кудрявцев Федор Александрович                           [0.001361] Щербаков Александр Вениаминович                         [0.029763] Смирнов Сергей Сергеевич
[0.110942] Жиляев Арсений Александрович                            [0.005387] Литвинов Георгий Александрович (Артём Драгунов)         [0.013627] Моша Юрий Игоревич                                      [0.001361] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.029359] Холмогорова Наталия Леонидовна
[0.110232] Яшин (Ясин) Игорь Геннадьевич                           [0.005300] Матвеев Михаил Николаевич                               [0.013527] Терегулов Артур Ринатович                               [0.001361] Быстров Андрей Сергеевич                                [0.029145] Кузин Евгений Андреевич
[0.109041] Витухновская Алина Александровна                        [0.005284] Радостева Наталья Евгеньевна                            [0.012934] Смирнов Сергей Сергеевич                                [0.001350] Пионтковский Андрей Андреевич                           [0.028151] Гарначук Владимир Федорович
[0.108902] Колесников Вадим Владимирович                           [0.005269] Лазуренко (Северский) Артем Сергеевич                   [0.012807] Лавров Андрей Валерьевич                                [0.001304] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.027679] Жиляев Арсений Александрович
[0.106810] Крюков Василий Анатольевич                              [0.005244] Образцова Алиса Сергеевна                               [0.012704] Сахнин Алексей Викторович                               [0.001289] Сангаев Игорь Вячеславович                              [0.027331] Александрова-Зорина Елизавета Борисовна
[0.105931] Петречук Лариса Леонидовна                              [0.005206] Бакиров Игорь Вакильевич                                [0.012654] Чернов Дмитрий Валерьевич                               [0.001247] Кара-Мурза Владимир Владимирович                        [0.026618] Лавров Андрей Валерьевич
[0.099785] Ренёв Денис Владимирович                                [0.005052] Гуляев Сергей Владимирович                              [0.012567] Брусиловский Максим Анатольевич                         [0.001247] Развозжаев Леонид Михайлович                            [0.025700] Колчинцев Вадим Валерьевич
[0.098524] Шалимова Надежда Валерьевна                             [0.005007] Безруких Олег Анатольевич                               [0.011948] Зорин Константин Игоревич                               [0.001236] Образцова Алиса Сергеевна                               [0.024892] Моша Юрий Игоревич
[0.096744] Сухоруков Дмитрий Владимирович                          [0.004685] Жиляев Арсений Александрович                            [0.011928] Бурашников Дмитрий Андреевич                            [0.001192] Отставных Валерий Владимирович                          [0.024824] Петречук Лариса Леонидовна
[0.096537] Виноградов Сергей Николаевич                            [0.004490] Петречук Лариса Леонидовна                              [0.011697] Сайдашев Радик Ромович                                  [0.001174] Илларионов Андрей Николаевич                            [0.023518] Пряников Павел Николаевич
[0.095413] Семенов Владимир Матвеевич                              [0.004466] Колюцкий Григорий Аркадьевич                            [0.011119] Семенов Владимир Матвеевич                              [0.001153] Эсауленко Дмитрий Николаевич                            [0.023340] Давыдов Андрей Владимирович
[0.094160] Баласанов Андрей Евгеньевич                             [0.004418] Шалимова Надежда Валерьевна                             [0.011087] Прибыловский Владимир Валерианович                      [0.001134] Лазуренко (Северский) Артем Сергеевич                   [0.022658] Сайдашев Радик Ромович
[0.094134] Овдиенко Игорь Геннадьевич                              [0.004338] Богомолов Юрий Александрович                            [0.010636] Дровецкий Василий Валерьевич                            [0.001133] Мыльникова Марина Сергеевна                             [0.022620] Поткин (Басманов) Владимир Анатольевич
[0.093668] Мокшанов Александр Александрович                        [0.004271] Прохоров (Шинфейн) Максим Геннадьевич                   [0.010531] Резчиков (Абанин) Алексей Романович                     [0.001133] Брусиловский Максим Анатольевич                         [0.022373] Прибыловский Владимир Валерианович
[0.093616] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.004196] Бескоровайный Алексей Викторович                        [0.010455] Бондарик Николай Николаевич                             [0.001083] Беззуб Алексей Юрьевич                                  [0.021952] Аверьянов Иван Александрович
[0.093581] Головин Дмитрий Александрович                           [0.004189] Брусиловский Максим Анатольевич                         [0.010272] Артёмов Игорь Владимирович                              [0.001078] Шулипа Юрий Юрьевич                                     [0.021752] Аникин Сергей Владимирович
[0.093066] Некрасов Дмитрий Александрович                          [0.004044] Смирнов Сергей Сергеевич                                [0.010170] Бадыкова Фиалка Ахмадеевна                              [0.001031] Лукьянова Елена Анатольевна                             [0.021251] Брусиловский Максим Анатольевич
[0.092974] Щербаков Александр Вениаминович                         [0.004039] Левшиц Николай Дмитриевич                               [0.009653] Николаев Александр Александрович                        [0.001021] Моша Юрий Игоревич                                      [0.019974] Литвинов Георгий Александрович (Артём Драгунов)
[0.091460] Глускин Владимир Александрович                          [0.004016] Колесников Сергей Владимирович                          [0.009535] Блиндул Алексей Валерьевич                              [0.001021] Удальцова Анастасия Олеговна                            [0.018420] Овдиенко Игорь Геннадьевич
[0.090789] Осенин Владимир Олегович                                [0.003974] Баласанов Андрей Евгеньевич                             [0.008653] Поткин (Басманов) Владимир Анатольевич                  [0.001018] Галямина Юлия Евгеньевна                                [0.018063] Дегтярь Иван Васильевич
[0.090118] Давыдов Андрей Владимирович                             [0.003744] Семенов Владимир Матвеевич                              [0.008645] Ободина Стелла Юрьевна                                  [0.001017] Албуров Георгий Валентинович                            [0.017883] Бадыкова Фиалка Ахмадеевна
[0.089731] Гарначук Владимир Федорович                             [0.003741] Глускин Владимир Александрович                          [0.008180] Поляков Анатолий Викторович                             [0.000971] Семенов Игорь Вячеславович                              [0.017406] Поляков Анатолий Викторович
[0.089508] Пряников Павел Николаевич                               [0.003636] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.008053] Спорыхина Ульяна Викторовна                             [0.000970] Романовский Владимир Геннадьевич                        [0.017244] Ободина Стелла Юрьевна
[0.088072] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.003539] Беззуб Алексей Юрьевич                                  [0.008023] Стефанов Борис Александрович                            [0.000966] Пархоменко Сергей Борисович                             [0.016236] Эсауленко Дмитрий Николаевич
[0.087847] Эсауленко Дмитрий Николаевич                            [0.003531] Шнейдер Михаил Яковлевич                                [0.007997] Иванов Андрей Геннадьевич                               [0.000966] Смирнов Сергей Сергеевич                                [0.015297] Первушин Александр Сергеевич
[0.086512] Литвинов Георгий Александрович (Артём Драгунов)         [0.003470] Стариков Иван Валентинович                              [0.007957] Косякин Константин Юрьевич                              [0.000964] Козырев Олег Вилисович                                  [0.014173] Мухин Юрий Игнатьевич
[0.086136] Кузин Евгений Андреевич                                 [0.003452] Янкаускас Константин Стасисович                         [0.007942] Марянин Игорь Сергеевич                                 [0.000964] Прохоров (Шинфейн) Максим Геннадьевич                   [0.012933] Бурашников Дмитрий Андреевич
[0.084575] Лавров Андрей Валерьевич                                [0.003369] Сангаев Игорь Вячеславович                              [0.007932] Баласанов Андрей Евгеньевич                             [0.000908] Ренёв Денис Владимирович                                [0.012889] Баласанов Андрей Евгеньевич
[0.081802] Митюшкина Надежда Львовна                               [0.003254] Галямина Юлия Евгеньевна                                [0.007724] Андреянов Сергей Николаевич                             [0.000907] Лебедев Константин Владимирович                         [0.012558] Семенов Владимир Матвеевич
[0.081213] Смирнов Сергей Сергеевич                                [0.003200] Гребнева Ирина Георгиевна                               [0.007505] Радченко Всеволод Валерьевич                            [0.000878] Верзилов Петр Юрьевич                                   [0.012273] Терегулов Артур Ринатович
[0.078144] Сайдашев Радик Ромович                                  [0.003195] Русакова Елена Леонидовна                               [0.007301] Эсауленко Дмитрий Николаевич                            [0.000851] Марянин Игорь Сергеевич                                 [0.012041] Шулипа Юрий Юрьевич
[0.077677] Шнейдер Михаил Яковлевич                                [0.003169] Дергачев Вадим Александрович                            [0.006918] Самсонов Артём Анатольевич                              [0.000851] Янкаускас Константин Стасисович                         [0.011363] Иванов Андрей Геннадьевич
[0.077422] Курамшин Владимир Вячеславович                          [0.003094] Овдиенко Игорь Геннадьевич                              [0.006678] Первушин Александр Сергеевич                            [0.000851] Шалимова Надежда Валерьевна                             [0.011272] Спорыхина Ульяна Викторовна
[0.076644] Косякин Константин Юрьевич                              [0.002795] Терегулов Артур Ринатович                               [0.006606] Демидов Михаил Александрович                            [0.000817] Первушин Александр Сергеевич                            [0.011216] Кудрявцев Федор Александрович
[0.074286] Прохоров (Шинфейн) Максим Геннадьевич                   [0.002766] Доброхотов Роман Александрович                          [0.006531] Мухин Юрий Игнатьевич                                   [0.000800] Савостин Михаил Олегович                                [0.010919] Самсонов Артём Анатольевич
[0.073589] Блиндул Алексей Валерьевич                              [0.002483] Стефанов Борис Александрович                            [0.006356] Печенев Александр Сергеевич                             [0.000797] Дзядко Филипп Викторович                                [0.010918] Воробьев Станислав Анатольевич
[0.070657] Воробьев Станислав Анатольевич                          [0.002328] Козырев Олег Вилисович                                  [0.006114] Крылов Олег Анатольевич                                 [0.000796] Русакова Елена Леонидовна                               [0.010916] Кузнецов Андрей Владимирович
[0.070344] Студенова (Пелевина) Наталья Владиславовна              [0.002324] Гаврилов Андрей Игоревич                                [0.005830] Сухарева Татьяна Викторовна                             [0.000796] Головин Дмитрий Александрович                           [0.010519] Зорин Константин Игоревич
[0.070171] Семенов Игорь Вячеславович                              [0.002294] Косякин Константин Юрьевич                              [0.005673] Павлов Владимир Георгиевич                              [0.000794] Безруких Олег Анатольевич                               [0.010476] Стефанов Борис Александрович
[0.069973] Колганов Антон Юрьевич                                  [0.002255] Шулипа Юрий Юрьевич                                     [0.005296] Гаврилов Андрей Игоревич                                [0.000794] Коровин Вадим Александрович                             [0.010300] Семенов Игорь Вячеславович
[0.069011] Иванов Андрей Геннадьевич                               [0.002144] Доможиров Евгений Валерьевич                            [0.005273] Кузнецов Андрей Владимирович                            [0.000791] Малышев Владимир Эдуардович                             [0.009909] Чупров Алексей Геннадьевич
[0.068335] Терегулов Артур Ринатович                               [0.002140] Гарначук Владимир Федорович                             [0.004999] Малышев Владимир Эдуардович                             [0.000742] Кашин Олег Владимирович                                 [0.009170] Сухарева Татьяна Викторовна
[0.068141] Ободина Стелла Юрьевна                                  [0.002100] Головин Дмитрий Александрович                           [0.004856] Колганов Антон Юрьевич                                  [0.000741] Овдиенко Игорь Геннадьевич                              [0.009077] Малышев Владимир Эдуардович
[0.066507] Мухин Юрий Игнатьевич                                   [0.001955] Ляскин Николай Николаевич                               [0.004807] Чупров Алексей Геннадьевич                              [0.000691] Крашенинников Федор Геннадиевич                         [0.008734] Курамшин Владимир Вячеславович
[0.065633] Агишев Ирек Абдулхакович                                [0.001831] Эсауленко Дмитрий Николаевич                            [0.004800] Мыльникова Марина Сергеевна                             [0.000681] Жиляев Арсений Александрович                            [0.008720] Барабаш Кирилл Владимирович
[0.060692] Шулипа Юрий Юрьевич                                     [0.001813] Кузин Евгений Андреевич                                 [0.004660] Шулипа Юрий Юрьевич                                     [0.000635] Иванов Андрей Геннадьевич                               [0.007419] Крюков Василий Анатольевич
[0.058610] Кудрявцев Федор Александрович                           [0.001789] Моша Юрий Игоревич                                      [0.004556] Семенов Игорь Вячеславович                              [0.000624] Прибыловский Владимир Валерианович                      [0.007413] Марянин Игорь Сергеевич
[0.057838] Моша Юрий Игоревич                                      [0.001789] Первушин Александр Сергеевич                            [0.004537] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.000624] Богомолов Юрий Александрович                            [0.007311] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)
[0.057836] Павлов Владимир Георгиевич                              [0.001742] Романовский Владимир Геннадьевич                        [0.004191] Барабаш Кирилл Владимирович                             [0.000624] Наганов Владислав Игоревич                              [0.006846] Гаврилов Андрей Игоревич
[0.057233] Стефанов Борис Александрович                            [0.001707] Малышев Владимир Эдуардович                             [0.003949] Колесников Вадим Владимирович                           [0.000569] Матвеев Михаил Николаевич                               [0.006793] Демидов Михаил Александрович
[0.057140] Василенко Павел Владимирович                            [0.001676] Семенов Игорь Вячеславович                              [0.003839] Крюков Василий Анатольевич                              [0.000567] Осенин Владимир Олегович                                [0.006649] Давыденко Денис Вячеславович
[0.056300] Самсонов Артём Анатольевич                              [0.001667] Иванов Андрей Геннадьевич                               [0.003765] Давыденко Денис Вячеславович                            [0.000566] Шнейдер Михаил Яковлевич                                [0.006286] Павлов Владимир Георгиевич
[0.055829] Гаврилов Андрей Игоревич                                [0.001653] Крылов Олег Анатольевич                                 [0.003650] Мицкевич Владислав Рудольфович                          [0.000561] Гуляев Сергей Владимирович                              [0.006126] Агишев Ирек Абдулхакович
[0.054815] Давыденко Денис Вячеславович                            [0.001579] Блиндул Алексей Валерьевич                              [0.003526] Рафаилов Георгий Георгиевич                             [0.000510] Езеев Федор Андреевич                                   [0.005957] Крылов Олег Анатольевич
[0.053424] Первушин Александр Сергеевич                            [0.001563] Щербаков Александр Вениаминович                         [0.003477] Палчаев Аким Нажмудинович                               [0.000455] Билунов Денис Борисович                                 [0.005007] Каржаева Неонила Васильевна
[0.052559] Сухарева Татьяна Викторовна                             [0.001523] Чернов Дмитрий Валерьевич                               [0.003301] Агишев Ирек Абдулхакович                                [0.000397] Чупров Алексей Геннадьевич                              [0.004713] Мыльникова Марина Сергеевна
[0.051857] Марянин Игорь Сергеевич                                 [0.001467] Митюшкина Надежда Львовна                               [0.003246] Виноградов Сергей Николаевич                            [0.000397] Гарначук Владимир Федорович                             [0.004513] Шалимова Надежда Валерьевна
[0.047580] Мицкевич Владислав Рудольфович                          [0.001465] Павлов Владимир Георгиевич                              [0.003188] Каржаева Неонила Васильевна                             [0.000397] Мицкевич Владислав Рудольфович                          [0.004436] Виноградов Сергей Николаевич
[0.047271] Демидов Михаил Александрович                            [0.001351] Самсонов Артём Анатольевич                              [0.003142] Панибратченко Андрей Валерьевич                         [0.000340] Панибратченко Андрей Валерьевич                         [0.004039] Мицкевич Владислав Рудольфович
[0.046923] Малышев Владимир Эдуардович                             [0.001275] Ренёв Денис Владимирович                                [0.002142] Шатов Станислав Николаевич                              [0.000284] Бескоровайный Алексей Викторович                        [0.003879] Будникова Софья Владимировна
[0.043934] Крылов Олег Анатольевич                                 [0.001246] Мыльникова Марина Сергеевна                             [0.001814] Будникова Софья Владимировна                            [0.000284] Доможиров Евгений Валерьевич                            [0.003691] Колганов Антон Юрьевич
[0.041535] Романовский Владимир Геннадьевич                        [0.001190] Прибыловский Владимир Валерианович                      [0.001735] Савостин Михаил Олегович                                [0.000283] Каржаева Неонила Васильевна                             [0.003503] Савостин Михаил Олегович
[0.041015] Мыльникова Марина Сергеевна                             [0.001018] Мокшанов Александр Александрович                        [0.001725] Романовский Владимир Геннадьевич                        [0.000180] Ободина Стелла Юрьевна                                  [0.003454] Шатов Станислав Николаевич
[0.037060] Шатов Станислав Николаевич                              [0.000980] Марянин Игорь Сергеевич                                 [0.001693] Василенко Павел Владимирович                            [0.000170] Надеев Анджей Рашидович                                 [0.002898] Сухоруков Дмитрий Владимирович
[0.034910] Прибыловский Владимир Валерианович                      [0.000924] Чупров Алексей Геннадьевич                              [0.001643] Сухоруков Дмитрий Владимирович                          [0.000113] Ляскин Николай Николаевич                               [0.002741] Надеев Анджей Рашидович
[0.034036] Савостин Михаил Олегович                                [0.000791] Мицкевич Владислав Рудольфович                          [0.001485] Шалимова Надежда Валерьевна                             [0.000113] Митюшкина Надежда Львовна                               [0.002543] Глускин Владимир Александрович
[0.033850] Каржаева Неонила Васильевна                             [0.000757] Ободина Стелла Юрьевна                                  [0.001191] Воробьев Станислав Анатольевич                          [0.000113] Блиндул Алексей Валерьевич                              [0.002305] Панибратченко Андрей Валерьевич
[0.032751] Чупров Алексей Геннадьевич                              [0.000680] Панибратченко Андрей Валерьевич                         [0.001117] Прохоров (Шинфейн) Максим Геннадьевич                   [0.000092] Некрасов Дмитрий Александрович                          [0.001991] Романовский Владимир Геннадьевич
[0.028414] Городенцев Андрей Геннадьевич                           [0.000576] Надеев Анджей Рашидович                                 [0.001044] Надеев Анджей Рашидович                                 [0.000057] Мокшанов Александр Александрович                        [0.001903] Василенко Павел Владимирович
[0.023637] Панибратченко Андрей Валерьевич                         [0.000569] Каржаева Неонила Васильевна                             [0.001013] Глускин Владимир Александрович                          [0.000057] Доброхотов Роман Александрович                          [0.001602] Прохоров (Шинфейн) Максим Геннадьевич
[0.015634] Надеев Анджей Рашидович                                 [0.000282] Савостин Михаил Олегович                                [0.000559] Городенцев Андрей Геннадьевич                           [0.000057] Косякин Константин Юрьевич                              [0.000663] Городенцев Андрей Геннадьевич
