Group size: 13106                                                  Group size: 14154                                                  Group size: 16452                                                  Group size: 17632                                                  Group size: 20347
[0.299243] Кашин Олег Владимирович                                 [0.062537] Каспаров Гарри Кимович                                  [0.254084] Мирзоев Владимир Владимирович                           [0.968744] Палчаев Аким Нажмудинович                               [0.462515] Рыклин Александр Юрьевич
[0.299083] Шеин Олег Васильевич                                    [0.062298] Барабаш Кирилл Владимирович                             [0.230411] Пономарев Илья Владимирович                             [0.968592] Пряников Павел Николаевич                               [0.458459] Мирзоев Владимир Владимирович
[0.298034] Волкова Александра Ивановна (Женя Отто)                 [0.061829] Тютрин Иван Иванович                                    [0.214355] Езеев Федор Андреевич                                   [0.966899] Студенова (Пелевина) Наталья Владиславовна              [0.451723] Царьков Пётр Анатольевич
[0.295225] Санников Максим Андреевич                               [0.060460] Демушкин Дмитрий Николаевич                             [0.206868] Пионтковский Андрей Андреевич                           [0.966708] Давыденко Денис Вячеславович                            [0.444407] Тютрин Иван Иванович
[0.293904] Аншаков Михаил Геннадьевич                              [0.057899] Бурашников Дмитрий Андреевич                            [0.184628] Ольшанский Леонид Дмитриевич                            [0.963824] Чернышева Наталья Юрьевна                               [0.444209] Долгих Антон Витальевич
[0.287516] Газарян Сурен Владимирович                              [0.057717] Некрасов Дмитрий Александрович                          [0.182354] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.961555] Поляков Анатолий Викторович                             [0.442458] Кац Максим Евгеньевич
[0.279157] Дзядко Филипп Викторович                                [0.056819] Яшин Илья Валерьевич                                    [0.182021] Власов Сергей Игоревич                                  [0.961414] Крюков Василий Анатольевич                              [0.425049] Каретникова Анна Георгиевна
[0.274302] Кралин Владлен Леонидович (Владимир Тор)                [0.055662] Залесский Александр Валерьевич                          [0.171706] Аншаков Михаил Геннадьевич                              [0.959137] Сухарева Татьяна Викторовна                             [0.407969] Развозжаев Леонид Михайлович
[0.271343] Баронова Мария Николаевна                               [0.052656] Гудков Геннадий Владимирович                            [0.171226] Баронова Мария Николаевна                               [0.957287] Шатов Станислав Николаевич                              [0.381185] Крылов Константин Анатольевич
[0.268228] Артёмов Игорь Владимирович                              [0.052445] Гельфанд Михаил Сергеевич                               [0.165702] Лурье Олег Анатольевич                                  [0.953108] Константинов Даниил Ильич                               [0.352542] Гаскаров Алексей Владимирович
[0.268188] Завесов Александр Львович                               [0.051894] Удальцов Сергей Станиславович                           [0.156411] Пивоваров Андрей Сергеевич                              [0.390654] Долгих Антон Витальевич                                 [0.349956] Наганов Владислав Игоревич
[0.261488] Демушкин Дмитрий Николаевич                             [0.050090] Немцов Борис Ефимович                                   [0.155133] Давидис Сергей Константинович                           [0.379387] Завесов Александр Львович                               [0.330038] Козырев Олег Вилисович
[0.259036] Илларионов Андрей Николаевич                            [0.048527] Ашурков Владимир Львович                                [0.148161] Крашенинников Федор Геннадиевич                         [0.363050] Каретникова Анна Георгиевна                             [0.317039] Шеин Олег Васильевич
[0.257567] Наганов Владислав Игоревич                              [0.048211] Рыклин Александр Юрьевич                                [0.144914] Козырев Олег Вилисович                                  [0.358311] Шелков Павел Николаевич                                 [0.316756] Аншаков Михаил Геннадьевич
[0.254609] Пархоменко Сергей Борисович                             [0.047661] Давыдов Андрей Владимирович                             [0.140301] Бабченко Аркадий Аркадьевич                             [0.335808] Пивоваров Андрей Сергеевич                              [0.312991] Баронова Мария Николаевна
[0.251737] Колесников Сергей Владимирович                          [0.047201] Бадыкова Фиалка Ахмадеевна                              [0.117715] Колесников Сергей Владимирович                          [0.328246] Давидис Сергей Константинович                           [0.300992] Доброхотов Роман Александрович
[0.250360] Шалимов Роман Николаевич                                [0.046169] Волкова Александра Ивановна (Женя Отто)                 [0.116433] Гонгальский Максим Брониславович                        [0.295171] Залесский Александр Валерьевич                          [0.295189] Санников Максим Андреевич
[0.246457] Тютрин Иван Иванович                                    [0.040929] Волкова Елена Ивановна                                  [0.113764] Коровин Вадим Александрович                             [0.257038] Шальнев Андрей Сергеевич                                [0.288425] Кралин Владлен Леонидович (Владимир Тор)
[0.245430] Езеев Федор Андреевич                                   [0.038856] Кац Максим Евгеньевич                                   [0.108506] Ляскин Николай Николаевич                               [0.240483] Царьков Пётр Анатольевич                                [0.281933] Константинов Даниил Ильич
[0.243987] Дровецкий Василий Валерьевич                            [0.037719] Виноградов Сергей Николаевич                            [0.105523] Доброхотов Роман Александрович                          [0.205255] Тютрин Иван Иванович                                    [0.275204] Завесов Александр Львович
[0.243472] Коровин Вадим Александрович                             [0.035043] Тюрин Андрей Владимирович                               [0.105487] Долгих Антон Витальевич                                 [0.158694] Рыклин Александр Юрьевич                                [0.272261] Бабченко Аркадий Аркадьевич
[0.241520] Кац Максим Евгеньевич                                   [0.035024] Адагамов Рустем Ринатович                               [0.103734] Шаргунов Сергей Александрович                           [0.028940] Тюрин Андрей Владимирович                               [0.264822] Власов Сергей Игоревич
[0.239811] Развозжаев Леонид Михайлович                            [0.034409] Илларионов Андрей Николаевич                            [0.101517] Рыклин Александр Юрьевич                                [0.019471] Крылов Константин Анатольевич                           [0.262019] Лурье Олег Анатольевич
[0.239273] Тюрин Андрей Владимирович                               [0.033563] Чернышева Наталья Юрьевна                               [0.099514] Пушкарева Наталья Александровна                         [0.019389] Давыдов Андрей Владимирович                             [0.261654] Лебедев Константин Владимирович
[0.237806] Адагамов Рустем Ринатович                               [0.032911] Вистицкий Михаил Михайлович                             [0.099197] Удальцова Анастасия Олеговна                            [0.019157] Демушкин Дмитрий Николаевич                             [0.260516] Билунов Денис Борисович
