Group size: 17730                                                  Group size: 20940                                                  Group size: 43021
[0.158828] Рыклин Александр Юрьевич                                [0.056888] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.237669] Санников Максим Андреевич
[0.029523] Тюрин Андрей Владимирович                               [0.055653] Волкова Александра Ивановна (Женя Отто)                 [0.236831] Ольшанский Леонид Дмитриевич
[0.020038] Крылов Константин Анатольевич                           [0.054638] Залесский Александр Валерьевич                          [0.233862] Крашенинников Федор Геннадиевич
[0.019830] Давыдов Андрей Владимирович                             [0.053289] Аникин Сергей Владимирович                              [0.232833] Завесов Александр Львович
[0.019550] Демушкин Дмитрий Николаевич                             [0.052420] Рыклин Александр Юрьевич                                [0.232634] Колесников Сергей Владимирович
[0.017862] Шац Михаил Григорьевич                                  [0.050495] Бурашников Дмитрий Андреевич                            [0.231769] Константинов Даниил Ильич
[0.017356] Резчиков (Абанин) Алексей Романович                     [0.049149] Некрасов Дмитрий Александрович                          [0.226504] Шелков Павел Николаевич
[0.017042] Лазарева Татьяна Юрьевна                                [0.048117] Агишев Ирек Абдулхакович                                [0.225099] Коровин Вадим Александрович
[0.016952] Колесников Вадим Владимирович                           [0.047932] Кара-Мурза Владимир Владимирович                        [0.224394] Аитова Екатерина Петровна
[0.015020] Радченко Всеволод Валерьевич                            [0.047400] Кралин Владлен Леонидович (Владимир Тор)                [0.221121] Кралин Владлен Леонидович (Владимир Тор)
[0.013762] Васильева Елена Борисовна                               [0.045114] Бабченко Аркадий Аркадьевич                             [0.220246] Иванов Дмитрий Сергеевич (kamikadze_d)
[0.013694] Собчак Ксения Анатольевна                               [0.044200] Газарян Сурен Владимирович                              [0.215260] Доброхотов Роман Александрович
[0.011784] Дровецкий Василий Валерьевич                            [0.042416] Пионтковский Андрей Андреевич                           [0.202331] Волкова Александра Ивановна (Женя Отто)
[0.011125] Быков Дмитрий Львович                                   [0.042353] Албуров Георгий Валентинович                            [0.197136] Ляскин Николай Николаевич
[0.007879] Кралин Владлен Леонидович (Владимир Тор)                [0.041855] Ольшанский Леонид Дмитриевич                            [0.193790] Билунов Денис Борисович
[0.007259] Воробьев Станислав Анатольевич                          [0.041651] Волкова Елена Ивановна                                  [0.189054] Гонгальский Максим Брониславович
[0.006889] Пушкарева Наталья Александровна                         [0.040040] Давыдов Андрей Владимирович                             [0.185926] Шаргунов Сергей Александрович
[0.006362] Каспаров Гарри Кимович                                  [0.039900] Вистицкий Михаил Михайлович                             [0.182897] Кавказский Николай Юрьевич
[0.006148] Поткин (Белов) Александр Анатольевич                    [0.039016] Поткин (Белов) Александр Анатольевич                    [0.181239] Лукьянова Елена Анатольевна
[0.005787] Чирикова Евгения Сергеевна                              [0.038563] Холмогорова Наталия Леонидовна                          [0.170348] Шальнев Андрей Сергеевич
[0.005567] Навальный Алексей Анатольевич                           [0.037958] Бадыкова Фиалка Ахмадеевна                              [0.169983] Лебедев Константин Владимирович
[0.005525] Ольшанский Леонид Дмитриевич                            [0.036648] Тюрин Андрей Владимирович                               [0.168078] Залесский Александр Валерьевич
[0.005385] Печенев Александр Сергеевич                             [0.036440] Баронова Мария Николаевна                               [0.166182] Отставных Валерий Владимирович
[0.005203] Винокуров Александр Иванович                            [0.036151] Аншаков Михаил Геннадьевич                              [0.165212] Удальцова Анастасия Олеговна
[0.005145] Волкова Александра Ивановна (Женя Отто)                 [0.035964] Виноградов Сергей Николаевич                            [0.163087] Сахнин Алексей Викторович
[0.005132] Чернов Дмитрий Валерьевич                               [0.035600] Развозжаев Леонид Михайлович                            [0.162104] Бакиров Игорь Вакильевич
[0.004975] Александрова-Зорина Елизавета Борисовна                 [0.033597] Спорыхина Ульяна Викторовна                             [0.159786] Дровецкий Василий Валерьевич
[0.004957] Зорин Константин Игоревич                               [0.033536] Чернышева Наталья Юрьевна                               [0.157337] Демушкин Дмитрий Николаевич
[0.004945] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.032769] Магкоева Белла (Изабель) Казбековна                     [0.154234] Магкоева Белла (Изабель) Казбековна
[0.004850] Аншаков Михаил Геннадьевич                              [0.030812] Будрайтскис Илья Борисович                              [0.150438] Шалимов Роман Николаевич
[0.004794] Адагамов Рустем Ринатович                               [0.030626] Мирзоев Владимир Владимирович                           [0.148909] Тюрин Андрей Владимирович
[0.004681] Витухновская Алина Александровна                        [0.030539] Поткин (Басманов) Владимир Анатольевич                  [0.143430] Русакова Елена Леонидовна
[0.004589] Сухоруков Дмитрий Владимирович                          [0.030334] Езеев Федор Андреевич                                   [0.143242] Гуляев Сергей Владимирович
[0.004545] Магкоева Белла (Изабель) Казбековна                     [0.030247] Санников Максим Андреевич                               [0.139138] Шнейдер Михаил Яковлевич
[0.004117] Крылов Олег Анатольевич                                 [0.029754] Резчиков (Абанин) Алексей Романович                     [0.135371] Лоскутов Артем Александрович
[0.003852] Петречук Лариса Леонидовна                              [0.029559] Сахнин Алексей Викторович                               [0.131672] Вистицкий Михаил Михайлович
[0.003781] Шаргунов Сергей Александрович                           [0.029010] Удальцова Анастасия Олеговна                            [0.129224] Янкаускас Константин Стасисович
[0.003730] Шалимов Роман Николаевич                                [0.028987] Дровецкий Василий Валерьевич                            [0.128246] Будрайтскис Илья Борисович
[0.003690] Удальцов Сергей Станиславович                           [0.028985] Шалимов Роман Николаевич                                [0.125922] Резчиков (Абанин) Алексей Романович
[0.003666] Бабченко Аркадий Аркадьевич                             [0.028870] Крюков Василий Анатольевич                              [0.125614] Поткин (Белов) Александр Анатольевич
[0.003557] Шеин Олег Васильевич                                    [0.028612] Радченко Всеволод Валерьевич                            [0.124279] Медведев Кирилл Феликсович
[0.003553] Баронова Мария Николаевна                               [0.028378] Будникова Софья Владимировна                            [0.124072] Верзилов Петр Юрьевич
[0.003540] Гонгальский Максим Брониславович                        [0.027305] Пушкарева Наталья Александровна                         [0.124026] Галямина Юлия Евгеньевна
[0.003439] Санников Максим Андреевич                               [0.027285] Поляков Анатолий Викторович                             [0.123316] Артёмов Игорь Владимирович
[0.003385] Соболь Любовь Эдуардовна                                [0.026613] Лурье Олег Анатольевич                                  [0.122089] Богомолов Юрий Александрович
[0.003289] Кац Максим Евгеньевич                                   [0.026598] Кавказский Николай Юрьевич                              [0.121718] Дергачев Вадим Александрович
[0.003271] Лурье Олег Анатольевич                                  [0.026121] Лебедев Константин Владимирович                         [0.120145] Чернышева Наталья Юрьевна
[0.002914] Радостева Наталья Евгеньевна                            [0.025919] Лоскутов Артем Александрович                            [0.119072] Радченко Всеволод Валерьевич
[0.002881] Будникова Софья Владимировна                            [0.025487] Андреянов Сергей Николаевич                             [0.118292] Горник Александр Львович
[0.002818] Колганов Антон Юрьевич                                  [0.024693] Кузнецов Андрей Владимирович                            [0.118213] Безруких Олег Анатольевич
[0.002767] Семенов Владимир Матвеевич                              [0.024269] Демидов Михаил Александрович                            [0.116489] Стариков Иван Валентинович
[0.002707] Гаврилов Андрей Игоревич                                [0.023800] Власов Сергей Игоревич                                  [0.115748] Беззуб Алексей Юрьевич
[0.002674] Андреянов Сергей Николаевич                             [0.022880] Шатов Станислав Николаевич                              [0.114784] Пушкарева Наталья Александровна
[0.002649] Стариков Иван Валентинович                              [0.022880] Александрова-Зорина Елизавета Борисовна                 [0.106650] Быстров Андрей Сергеевич
[0.002476] Холмогорова Наталия Леонидовна                          [0.022281] Медведев Кирилл Феликсович                              [0.105648] Гребнева Ирина Георгиевна
[0.002369] Кузин Евгений Андреевич                                 [0.021815] Яшин (Ясин) Игорь Геннадьевич                           [0.103572] Печенев Александр Сергеевич
[0.002368] Колюцкий Григорий Аркадьевич                            [0.021746] Сухоруков Дмитрий Владимирович                          [0.101704] Сангаев Игорь Вячеславович
[0.002367] Терегулов Артур Ринатович                               [0.021727] Лазуренко (Северский) Артем Сергеевич                   [0.101071] Митюшкина Надежда Львовна
[0.002333] Баласанов Андрей Евгеньевич                             [0.021331] Дегтярь Иван Васильевич                                 [0.100111] Некрасов Дмитрий Александрович
[0.002311] Мирзоев Владимир Владимирович                           [0.021125] Матвеев Михаил Николаевич                               [0.097379] Образцова Алиса Сергеевна
[0.002303] Гудков Геннадий Владимирович                            [0.020902] Шалимова Надежда Валерьевна                             [0.094495] Колюцкий Григорий Аркадьевич
[0.002228] Павлов Владимир Георгиевич                              [0.020489] Гонгальский Максим Брониславович                        [0.093728] Волкова Елена Ивановна
[0.002200] Кузнецов Андрей Владимирович                            [0.020453] Шаргунов Сергей Александрович                           [0.093383] Матвеев Михаил Николаевич
[0.002199] Пономарев Илья Владимирович                             [0.020346] Глускин Владимир Александрович                          [0.091143] Лазуренко (Северский) Артем Сергеевич
[0.002197] Ашурков Владимир Львович                                [0.020329] Брусиловский Максим Анатольевич                         [0.088599] Левшиц Николай Дмитриевич
[0.002193] Медведев Кирилл Феликсович                              [0.020256] Воробьев Станислав Анатольевич                          [0.086078] Доможиров Евгений Валерьевич
[0.002155] Немцов Борис Ефимович                                   [0.019455] Верзилов Петр Юрьевич                                   [0.083375] Бескоровайный Алексей Викторович
[0.002154] Мухин Юрий Игнатьевич                                   [0.019433] Прохоров (Шинфейн) Максим Геннадьевич                   [0.082254] Палчаев Аким Нажмудинович
[0.002086] Бакиров Игорь Вакильевич                                [0.018661] Василенко Павел Владимирович                            [0.081492] Радостева Наталья Евгеньевна
[0.002030] Поткин (Басманов) Владимир Анатольевич                  [0.018535] Крашенинников Федор Геннадиевич                         [0.079280] Бондарик Николай Николаевич
[0.002030] Дергачев Вадим Александрович                            [0.018438] Пряников Павел Николаевич                               [0.079004] Николаев Александр Александрович
[0.002003] Лоскутов Артем Александрович                            [0.017489] Лавров Андрей Валерьевич                                [0.072707] Андреянов Сергей Николаевич
[0.001979] Власов Сергей Игоревич                                  [0.017127] Отставных Валерий Владимирович                          [0.069899] Осенин Владимир Олегович
[0.001975] Литвинов Георгий Александрович (Артём Драгунов)         [0.016974] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.069781] Васильева Елена Борисовна
[0.001970] Сахнин Алексей Викторович                               [0.016474] Колесников Сергей Владимирович                          [0.067569] Витухновская Алина Александровна
[0.001950] Будрайтскис Илья Борисович                              [0.016179] Печенев Александр Сергеевич                             [0.067257] Левченко Екатерина Валентиновна
[0.001947] Яшин (Ясин) Игорь Геннадьевич                           [0.015998] Колчинцев Вадим Валерьевич                              [0.065984] Яшин (Ясин) Игорь Геннадьевич
[0.001917] Колесников Сергей Владимирович                          [0.015997] Горник Александр Львович                                [0.065587] Холмогорова Наталия Леонидовна
[0.001867] Яшин Илья Валерьевич                                    [0.015738] Колесников Вадим Владимирович                           [0.061595] Колесников Вадим Владимирович
[0.001768] Гудков Дмитрий Геннадьевич                              [0.015248] Лукьянова Елена Анатольевна                             [0.058732] Аверьянов Иван Александрович
[0.001745] Левшиц Николай Дмитриевич                               [0.015144] Коровин Вадим Александрович                             [0.058461] Щербаков Александр Вениаминович
[0.001731] Сангаев Игорь Вячеславович                              [0.014892] Левченко Екатерина Валентиновна                         [0.056449] Рафаилов Георгий Георгиевич
[0.001710] Стефанов Борис Александрович                            [0.014598] Курамшин Владимир Вячеславович                          [0.055873] Александрова-Зорина Елизавета Борисовна
[0.001701] Самсонов Артём Анатольевич                              [0.014556] Колюцкий Григорий Аркадьевич                            [0.053824] Головин Дмитрий Александрович
[0.001692] Глускин Владимир Александрович                          [0.014476] Витухновская Алина Александровна                        [0.053393] Скалаух Иван Сергеевич
[0.001691] Романова Ольга Евгеньевна                               [0.014361] Чернов Дмитрий Валерьевич                               [0.050896] Жиляев Арсений Александрович
[0.001635] Пионтковский Андрей Андреевич                           [0.014142] Сухарева Татьяна Викторовна                             [0.050795] Мокшанов Александр Александрович
[0.001635] Газарян Сурен Владимирович                              [0.013750] Сангаев Игорь Вячеславович                              [0.050788] Студенова (Пелевина) Наталья Владиславовна
[0.001635] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.013719] Мухин Юрий Игнатьевич                                   [0.050763] Ренёв Денис Владимирович
[0.001618] Кавказский Николай Юрьевич                              [0.013660] Давыденко Денис Вячеславович                            [0.050394] Петречук Лариса Леонидовна
[0.001598] Быстров Андрей Сергеевич                                [0.013652] Кудрявцев Федор Александрович                           [0.050238] Чернов Дмитрий Валерьевич
[0.001584] Гребнева Ирина Георгиевна                               [0.013208] Зорин Константин Игоревич                               [0.049997] Колчинцев Вадим Валерьевич
[0.001547] Кара-Мурза Владимир Владимирович                        [0.012847] Осенин Владимир Олегович                                [0.048123] Путенихин Дмитрий Викторович (Матвей Крылов)
[0.001523] Горник Александр Львович                                [0.012418] Билунов Денис Борисович                                 [0.048048] Косякин Константин Юрьевич
[0.001466] Брусиловский Максим Анатольевич                         [0.012298] Колганов Антон Юрьевич                                  [0.047892] Брусиловский Максим Анатольевич
[0.001465] Семенов Игорь Вячеславович                              [0.012293] Студенова (Пелевина) Наталья Владиславовна              [0.047850] Поткин (Басманов) Владимир Анатольевич
[0.001449] Образцова Алиса Сергеевна                               [0.012226] Образцова Алиса Сергеевна                               [0.047524] Аникин Сергей Владимирович
[0.001416] Отставных Валерий Владимирович                          [0.012056] Жиляев Арсений Александрович                            [0.046570] Гарначук Владимир Федорович
[0.001410] Щербаков Александр Вениаминович                         [0.011867] Мицкевич Владислав Рудольфович                          [0.046540] Дегтярь Иван Васильевич
[0.001410] Илларионов Андрей Николаевич                            [0.011758] Бакиров Игорь Вакильевич                                [0.046398] Кузин Евгений Андреевич
[0.001409] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.011731] Гуляев Сергей Владимирович                              [0.046001] Блиндул Алексей Валерьевич
[0.001314] Беззуб Алексей Юрьевич                                  [0.011677] Быстров Андрей Сергеевич                                [0.045248] Овдиенко Игорь Геннадьевич
[0.001311] Эсауленко Дмитрий Николаевич                            [0.011480] Доброхотов Роман Александрович                          [0.043947] Бадыкова Фиалка Ахмадеевна
