Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.070591] Шальнев Андрей Сергеевич                                [0.309039] Винокуров Александр Иванович                            [0.166781] Пономарев Илья Владимирович                             [0.522766] Гельфанд Михаил Сергеевич                               [0.467154] Мирзоев Владимир Владимирович                           [0.972896] Кудрявцев Федор Александрович
[0.065859] Бадыкова Фиалка Ахмадеевна                              [0.308241] Собчак Ксения Анатольевна                               [0.162159] Наганов Владислав Игоревич                              [0.520229] Развозжаев Леонид Михайлович                            [0.463180] Давидис Сергей Константинович                           [0.971919] Сайдашев Радик Ромович
[0.063065] Залесский Александр Валерьевич                          [0.296086] Аншаков Михаил Геннадьевич                              [0.142994] Винокуров Александр Иванович                            [0.511065] Албуров Георгий Валентинович                            [0.457722] Газарян Сурен Владимирович                              [0.971900] Спорыхина Ульяна Викторовна
[0.054977] Демушкин Дмитрий Николаевич                             [0.295962] Власов Сергей Игоревич                                  [0.131604] Кара-Мурза Владимир Владимирович                        [0.492695] Царьков Пётр Анатольевич                                [0.452050] Пионтковский Андрей Андреевич                           [0.971640] Рафаилов Георгий Георгиевич
[0.054312] Крылов Константин Анатольевич                           [0.295511] Гудков Геннадий Владимирович                            [0.128448] Пивоваров Андрей Сергеевич                              [0.489776] Газарян Сурен Владимирович                              [0.420934] Албуров Георгий Валентинович                            [0.971011] Пряников Павел Николаевич
[0.052746] Виноградов Сергей Николаевич                            [0.293993] Волкова Александра Ивановна (Женя Отто)                 [0.122909] Газарян Сурен Владимирович                              [0.482644] Винокуров Александр Иванович                            [0.334228] Удальцов Сергей Станиславович                           [0.970494] Артёмов Игорь Владимирович
[0.050538] Волкова Елена Ивановна                                  [0.285870] Санников Максим Андреевич                               [0.122068] Албуров Георгий Валентинович                            [0.470834] Адагамов Рустем Ринатович                               [0.317430] Рыклин Александр Юрьевич                                [0.969078] Студенова (Пелевина) Наталья Владиславовна
[0.047976] Рыклин Александр Юрьевич                                [0.277950] Албуров Георгий Валентинович                            [0.120976] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.462529] Пионтковский Андрей Андреевич                           [0.306387] Наганов Владислав Игоревич                              [0.969053] Палчаев Аким Нажмудинович
[0.045397] Демидов Михаил Александрович                            [0.276682] Артёмов Игорь Владимирович                              [0.104123] Ольшанский Леонид Дмитриевич                            [0.456624] Долгих Антон Витальевич                                 [0.295295] Козырев Олег Вилисович                                  [0.967904] Давыденко Денис Вячеславович
[0.044343] Гельфанд Михаил Сергеевич                               [0.272791] Шеин Олег Васильевич                                    [0.103941] Крылов Константин Анатольевич                           [0.452785] Тютрин Иван Иванович                                    [0.287702] Пивоваров Андрей Сергеевич                              [0.965538] Чернышева Наталья Юрьевна
[0.043661] Шатов Станислав Николаевич                              [0.272449] Газарян Сурен Владимирович                              [0.096750] Давидис Сергей Константинович                           [0.432252] Гаскаров Алексей Владимирович                           [0.279478] Аншаков Михаил Геннадьевич                              [0.963866] Поляков Анатолий Викторович
[0.043129] Чернышева Наталья Юрьевна                               [0.270768] Баронова Мария Николаевна                               [0.092427] Пионтковский Андрей Андреевич                           [0.428076] Константинов Даниил Ильич                               [0.276870] Долгих Антон Витальевич                                 [0.963712] Крюков Василий Анатольевич
[0.039952] Вистицкий Михаил Михайлович                             [0.269621] Кашин Олег Владимирович                                 [0.084692] Езеев Федор Андреевич                                   [0.424605] Каретникова Анна Георгиевна                             [0.275725] Лурье Олег Анатольевич                                  [0.961395] Сухарева Татьяна Викторовна
[0.039570] Волкова Александра Ивановна (Женя Отто)                 [0.267035] Кралин Владлен Леонидович (Владимир Тор)                [0.082391] Мирзоев Владимир Владимирович                           [0.418732] Кац Максим Евгеньевич                                   [0.272072] Власов Сергей Игоревич                                  [0.958632] Шатов Станислав Николаевич
[0.035620] Быков Дмитрий Львович                                   [0.264385] Завесов Александр Львович                               [0.079966] Долгих Антон Витальевич                                 [0.415437] Кралин Владлен Леонидович (Владимир Тор)                [0.269967] Баронова Мария Николаевна                               [0.953485] Константинов Даниил Ильич
[0.035238] Василенко Павел Владимирович                            [0.251388] Демушкин Дмитрий Николаевич                             [0.078756] Баронова Мария Николаевна                               [0.414322] Наганов Владислав Игоревич                              [0.269230] Шеин Олег Васильевич                                    [0.391025] Долгих Антон Витальевич
[0.034388] Тюрин Андрей Владимирович                               [0.250208] Колесников Сергей Владимирович                          [0.076597] Некрасов Дмитрий Александрович                          [0.411096] Рыклин Александр Юрьевич                                [0.267276] Доброхотов Роман Александрович                          [0.379745] Завесов Александр Львович
