Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.006007] Витухновская Алина Александровна                        [0.156532] Барабаш Кирилл Владимирович                             [0.017885] Билунов Денис Борисович                                 [0.103641] Бондарик Николай Николаевич                             [0.055362] Лебедев Константин Владимирович                         [0.002130] Кузин Евгений Андреевич
[0.005926] Быстров Андрей Сергеевич                                [0.156428] Быстров Андрей Сергеевич                                [0.017779] Витухновская Алина Александровна                        [0.100222] Колесников Вадим Владимирович                           [0.053805] Матвеев Михаил Николаевич                               [0.002129] Баласанов Андрей Евгеньевич
[0.005891] Пионтковский Андрей Андреевич                           [0.155370] Левченко Екатерина Валентиновна                         [0.017661] Русакова Елена Леонидовна                               [0.098667] Образцова Алиса Сергеевна                               [0.053481] Яшин (Ясин) Игорь Геннадьевич                           [0.002105] Гудков Геннадий Владимирович
[0.005631] Гудков Дмитрий Геннадьевич                              [0.154671] Брусиловский Максим Анатольевич                         [0.017418] Холмогорова Наталия Леонидовна                          [0.098534] Галямина Юлия Евгеньевна                                [0.050155] Васильева Елена Борисовна                               [0.002084] Колюцкий Григорий Аркадьевич
[0.005313] Сухоруков Дмитрий Владимирович                          [0.153500] Удальцова Анастасия Олеговна                            [0.017065] Гуляев Сергей Владимирович                              [0.094472] Беззуб Алексей Юрьевич                                  [0.049742] Радостева Наталья Евгеньевна                            [0.002056] Семенов Владимир Матвеевич
[0.005301] Пушкарева Наталья Александровна                         [0.152003] Кузнецов Андрей Владимирович                            [0.016943] Гребнева Ирина Георгиевна                               [0.093996] Горник Александр Львович                                [0.049246] Щербаков Александр Вениаминович                         [0.002050] Терегулов Артур Ринатович
[0.005117] Шеин Олег Васильевич                                    [0.151810] Радостева Наталья Евгеньевна                            [0.016411] Радченко Всеволод Валерьевич                            [0.091435] Быстров Андрей Сергеевич                                [0.048071] Левченко Екатерина Валентиновна                         [0.002049] Кузнецов Андрей Владимирович
[0.005048] Кузнецов Андрей Владимирович                            [0.150052] Будникова Софья Владимировна                            [0.016212] Шнейдер Михаил Яковлевич                                [0.091261] Николаев Александр Александрович                        [0.045798] Головин Дмитрий Александрович                           [0.002048] Медведев Кирилл Феликсович
[0.004985] Дзядко Филипп Викторович                                [0.145912] Русакова Елена Леонидовна                               [0.016172] Левшиц Николай Дмитриевич                               [0.090863] Матвеев Михаил Николаевич                               [0.039891] Студенова (Пелевина) Наталья Владиславовна              [0.002028] Мухин Юрий Игнатьевич
[0.004952] Гонгальский Максим Брониславович                        [0.145436] Андреянов Сергей Николаевич                             [0.015983] Андреянов Сергей Николаевич                             [0.089810] Пушкарева Наталья Александровна                         [0.039222] Кузин Евгений Андреевич                                 [0.001992] Пономарев Илья Владимирович
[0.004869] Магкоева Белла (Изабель) Казбековна                     [0.144860] Васильева Елена Борисовна                               [0.015890] Чернышева Наталья Юрьевна                               [0.088416] Доможиров Евгений Валерьевич                            [0.036543] Блиндул Алексей Валерьевич                              [0.001953] Поткин (Басманов) Владимир Анатольевич
[0.004819] Литвинов Георгий Александрович (Артём Драгунов)         [0.144846] Медведев Кирилл Феликсович                              [0.015773] Быстров Андрей Сергеевич                                [0.084560] Левшиц Николай Дмитриевич                               [0.034901] Скалаух Иван Сергеевич                                  [0.001878] Немцов Борис Ефимович
[0.004587] Яшин (Ясин) Игорь Геннадьевич                           [0.141829] Александрова-Зорина Елизавета Борисовна                 [0.015434] Стариков Иван Валентинович                              [0.077041] Лазуренко (Северский) Артем Сергеевич                   [0.034657] Овдиенко Игорь Геннадьевич                              [0.001850] Дергачев Вадим Александрович
[0.004498] Богомолов Юрий Александрович                            [0.140613] Дергачев Вадим Александрович                            [0.015152] Александрова-Зорина Елизавета Борисовна                 [0.074662] Радостева Наталья Евгеньевна                            [0.034099] Кралин Владлен Леонидович (Владимир Тор)                [0.001821] Павлов Владимир Георгиевич
[0.004432] Ольшанский Леонид Дмитриевич                            [0.140097] Богомолов Юрий Александрович                            [0.015132] Пряников Павел Николаевич                               [0.071026] Гребнева Ирина Георгиевна                               [0.033980] Гарначук Владимир Федорович                             [0.001767] Мирзоев Владимир Владимирович
[0.004388] Бакиров Игорь Вакильевич                                [0.135771] Рафаилов Георгий Георгиевич                             [0.014748] Аверьянов Иван Александрович                            [0.070181] Сангаев Игорь Вячеславович                              [0.033156] Петречук Лариса Леонидовна                              [0.001764] Яшин (Ясин) Игорь Геннадьевич
[0.004376] Горник Александр Львович                                [0.134933] Янкаускас Константин Стасисович                         [0.014555] Печенев Александр Сергеевич                             [0.070019] Рафаилов Георгий Георгиевич                             [0.032831] Мокшанов Александр Александрович                        [0.001716] Бакиров Игорь Вакильевич
[0.004238] Давыдов Андрей Владимирович                             [0.134875] Бадыкова Фиалка Ахмадеевна                              [0.014158] Галямина Юлия Евгеньевна                                [0.064862] Косякин Константин Юрьевич                              [0.031963] Ренёв Денис Владимирович                                [0.001706] Сахнин Алексей Викторович
[0.004184] Безруких Олег Анатольевич                               [0.134528] Поляков Анатолий Викторович                             [0.013926] Безруких Олег Анатольевич                               [0.061381] Волкова Елена Ивановна                                  [0.029904] Жиляев Арсений Александрович                            [0.001685] Колесников Сергей Владимирович
[0.003972] Шалимова Надежда Валерьевна                             [0.134279] Доможиров Евгений Валерьевич                            [0.013770] Матвеев Михаил Николаевич                               [0.060752] Бескоровайный Алексей Викторович                        [0.028490] Колчинцев Вадим Валерьевич                              [0.001662] Власов Сергей Игоревич
[0.003874] Брусиловский Максим Анатольевич                         [0.133932] Аникин Сергей Владимирович                              [0.013459] Жиляев Арсений Александрович                            [0.058499] Колюцкий Григорий Аркадьевич                            [0.028468] Аверьянов Иван Александрович                            [0.001645] Лоскутов Артем Александрович
[0.003830] Глускин Владимир Александрович                          [0.133634] Чернов Дмитрий Валерьевич                               [0.013264] Радостева Наталья Евгеньевна                            [0.058097] Осенин Владимир Олегович                                [0.027505] Лавров Андрей Валерьевич                                [0.001633] Будрайтскис Илья Борисович
[0.003802] Удальцова Анастасия Олеговна                            [0.131785] Дегтярь Иван Васильевич                                 [0.012552] Поткин (Басманов) Владимир Анатольевич                  [0.052526] Студенова (Пелевина) Наталья Владиславовна              [0.026715] Александрова-Зорина Елизавета Борисовна                 [0.001624] Ашурков Владимир Львович
[0.003766] Баласанов Андрей Евгеньевич                             [0.131023] Образцова Алиса Сергеевна                               [0.012066] Овдиенко Игорь Геннадьевич                              [0.052127] Витухновская Алина Александровна                        [0.025817] Сайдашев Радик Ромович                                  [0.001622] Яшин Илья Валерьевич
[0.003716] Бескоровайный Алексей Викторович                        [0.129490] Зорин Константин Игоревич                               [0.011998] Петречук Лариса Леонидовна                              [0.049145] Холмогорова Наталия Леонидовна                          [0.025805] Моша Юрий Игоревич                                      [0.001595] Стефанов Борис Александрович
[0.003693] Лоскутов Артем Александрович                            [0.129129] Бурашников Дмитрий Андреевич                            [0.011162] Митюшкина Надежда Львовна                               [0.049087] Васильева Елена Борисовна                               [0.025758] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.001586] Глускин Владимир Александрович
[0.003642] Прохоров (Шинфейн) Максим Геннадьевич                   [0.128598] Верзилов Петр Юрьевич                                   [0.011107] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.049075] Щербаков Александр Вениаминович                         [0.024191] Аникин Сергей Владимирович                              [0.001526] Литвинов Георгий Александрович (Артём Драгунов)
[0.003539] Радостева Наталья Евгеньевна                            [0.128357] Лебедев Константин Владимирович                         [0.010702] Скалаух Иван Сергеевич                                  [0.047659] Яшин (Ясин) Игорь Геннадьевич                           [0.021564] Дегтярь Иван Васильевич                                 [0.001474] Самсонов Артём Анатольевич
[0.003473] Осенин Владимир Олегович                                [0.125828] Стариков Иван Валентинович                              [0.010660] Литвинов Георгий Александрович (Артём Драгунов)         [0.046114] Поткин (Басманов) Владимир Анатольевич                  [0.021354] Будрайтскис Илья Борисович                              [0.001424] Левшиц Николай Дмитриевич
[0.003452] Пархоменко Сергей Борисович                             [0.125789] Колчинцев Вадим Валерьевич                              [0.009810] Бескоровайный Алексей Викторович                        [0.045204] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.021005] Литвинов Георгий Александрович (Артём Драгунов)         [0.001423] Гудков Дмитрий Геннадьевич
[0.003366] Лурье Олег Анатольевич                                  [0.125642] Левшиц Николай Дмитриевич                               [0.009708] Смирнов Сергей Сергеевич                                [0.042187] Мокшанов Александр Александрович                        [0.020614] Прибыловский Владимир Валерианович                      [0.001421] Горник Александр Львович
[0.003311] Петречук Лариса Леонидовна                              [0.122032] Скалаух Иван Сергеевич                                  [0.009330] Бурашников Дмитрий Андреевич                            [0.041757] Чернов Дмитрий Валерьевич                               [0.020047] Чернов Дмитрий Валерьевич                               [0.001396] Романова Ольга Евгеньевна
[0.003295] Семенов Владимир Матвеевич                              [0.121521] Козырев Олег Вилисович                                  [0.009253] Колесников Вадим Владимирович                           [0.040920] Смирнов Сергей Сергеевич                                [0.019277] Брусиловский Максим Анатольевич                         [0.001369] Гребнева Ирина Георгиевна
[0.003291] Лукьянова Елена Анатольевна                             [0.121276] Крюков Василий Анатольевич                              [0.008610] Головин Дмитрий Александрович                           [0.039466] Блиндул Алексей Валерьевич                              [0.018883] Шалимов Роман Николаевич                                [0.001366] Газарян Сурен Владимирович
[0.003262] Матвеев Михаил Николаевич                               [0.119435] Жиляев Арсений Александрович                            [0.008522] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.037870] Скалаух Иван Сергеевич                                  [0.018135] Косякин Константин Юрьевич                              [0.001366] Кавказский Николай Юрьевич
[0.003227] Газарян Сурен Владимирович                              [0.117718] Шаргунов Сергей Александрович                           [0.008429] Доможиров Евгений Валерьевич                            [0.036802] Левченко Екатерина Валентиновна                         [0.017945] Пряников Павел Николаевич                               [0.001364] Щербаков Александр Вениаминович
[0.003155] Верзилов Петр Юрьевич                                   [0.117543] Ляскин Николай Николаевич                               [0.008385] Богомолов Юрий Александрович                            [0.036169] Александрова-Зорина Елизавета Борисовна                 [0.017908] Терегулов Артур Ринатович                               [0.001353] Путенихин Дмитрий Викторович (Матвей Крылов)
[0.003132] Шаргунов Сергей Александрович                           [0.116452] Доброхотов Роман Александрович                          [0.008314] Левченко Екатерина Валентиновна                         [0.036070] Ренёв Денис Владимирович                                [0.017737] Давыдов Андрей Владимирович                             [0.001332] Быстров Андрей Сергеевич
[0.003071] Билунов Денис Борисович                                 [0.116417] Шалимова Надежда Валерьевна                             [0.008205] Рафаилов Георгий Георгиевич                             [0.035223] Головин Дмитрий Александрович                           [0.017314] Баласанов Андрей Евгеньевич                             [0.001302] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)
[0.002949] Кара-Мурза Владимир Владимирович                        [0.115910] Витухновская Алина Александровна                        [0.008193] Кудрявцев Федор Александрович                           [0.033312] Жиляев Арсений Александрович                            [0.016899] Ободина Стелла Юрьевна                                  [0.001278] Пионтковский Андрей Андреевич
[0.002745] Кашин Олег Владимирович                                 [0.114348] Яшин (Ясин) Игорь Геннадьевич                           [0.008063] Терегулов Артур Ринатович                               [0.031980] Давыдов Андрей Владимирович                             [0.016859] Холмогорова Наталия Леонидовна                          [0.001237] Сангаев Игорь Вячеславович
[0.002677] Власов Сергей Игоревич                                  [0.113492] Петречук Лариса Леонидовна                              [0.007724] Студенова (Пелевина) Наталья Владиславовна              [0.031772] Пряников Павел Николаевич                               [0.016114] Смирнов Сергей Сергеевич                                [0.001232] Развозжаев Леонид Михайлович
[0.002641] Пономарев Илья Владимирович                             [0.112448] Виноградов Сергей Николаевич                            [0.007671] Палчаев Аким Нажмудинович                               [0.031309] Колчинцев Вадим Валерьевич                              [0.016021] Семенов Владимир Матвеевич                              [0.001218] Кара-Мурза Владимир Владимирович
[0.002534] Беззуб Алексей Юрьевич                                  [0.112404] Сухоруков Дмитрий Владимирович                          [0.007618] Курамшин Владимир Вячеславович                          [0.029463] Гарначук Владимир Федорович                             [0.015379] Первушин Александр Сергеевич                            [0.001189] Образцова Алиса Сергеевна
[0.002481] Гуляев Сергей Владимирович                              [0.107572] Колесников Вадим Владимирович                           [0.007556] Аникин Сергей Владимирович                              [0.029304] Петречук Лариса Леонидовна                              [0.015343] Курамшин Владимир Вячеславович                          [0.001166] Отставных Валерий Владимирович
[0.002459] Стефанов Борис Александрович                            [0.106685] Ренёв Денис Владимирович                                [0.007516] Зорин Константин Игоревич                               [0.027734] Лавров Андрей Валерьевич                                [0.015249] Бадыкова Фиалка Ахмадеевна                              [0.001137] Лазуренко (Северский) Артем Сергеевич
[0.002417] Отставных Валерий Владимирович                          [0.106170] Глускин Владимир Александрович                          [0.007423] Колчинцев Вадим Валерьевич                              [0.027545] Брусиловский Максим Анатольевич                         [0.014931] Бурашников Дмитрий Андреевич                            [0.001137] Эсауленко Дмитрий Николаевич
[0.002367] Романова Ольга Евгеньевна                               [0.104707] Семенов Владимир Матвеевич                              [0.007055] Щербаков Александр Вениаминович                         [0.026908] Аверьянов Иван Александрович                            [0.014656] Эсауленко Дмитрий Николаевич                            [0.001107] Мыльникова Марина Сергеевна
[0.002351] Гаврилов Андрей Игоревич                                [0.103903] Баласанов Андрей Евгеньевич                             [0.006979] Кузин Евгений Андреевич                                 [0.026768] Кузин Евгений Андреевич                                 [0.014138] Кудрявцев Федор Александрович                           [0.001094] Илларионов Андрей Николаевич
[0.002146] Жиляев Арсений Александрович                            [0.102854] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.006923] Гарначук Владимир Федорович                             [0.026749] Поляков Анатолий Викторович                             [0.014000] Сахнин Алексей Викторович                               [0.001081] Шулипа Юрий Юрьевич
[0.002127] Коровин Вадим Александрович                             [0.100509] Овдиенко Игорь Геннадьевич                              [0.006916] Дегтярь Иван Васильевич                                 [0.025308] Аникин Сергей Владимирович                              [0.013697] Константинов Даниил Ильич                               [0.001063] Брусиловский Максим Анатольевич
[0.002087] Лазуренко (Северский) Артем Сергеевич                   [0.099106] Головин Дмитрий Александрович                           [0.006892] Васильева Елена Борисовна                               [0.025295] Моша Юрий Игоревич                                      [0.013641] Демушкин Дмитрий Николаевич                             [0.001035] Беззуб Алексей Юрьевич
[0.002079] Левшиц Николай Дмитриевич                               [0.097171] Пряников Павел Николаевич                               [0.006769] Косякин Константин Юрьевич                              [0.024347] Литвинов Георгий Александрович (Артём Драгунов)         [0.013490] Марянин Игорь Сергеевич                                 [0.001024] Моша Юрий Игоревич
[0.001997] Мирзоев Владимир Владимирович                           [0.095669] Гарначук Владимир Федорович                             [0.006606] Ренёв Денис Владимирович                                [0.023842] Бадыкова Фиалка Ахмадеевна                              [0.013451] Зорин Константин Игоревич                               [0.001024] Удальцова Анастасия Олеговна
[0.001977] Стариков Иван Валентинович                              [0.095378] Эсауленко Дмитрий Николаевич                            [0.006508] Моша Юрий Игоревич                                      [0.023744] Дегтярь Иван Васильевич                                 [0.013113] Иванов Андрей Геннадьевич                               [0.001023] Лукьянова Елена Анатольевна
[0.001966] Наганов Владислав Игоревич                              [0.095310] Мокшанов Александр Александрович                        [0.006335] Прибыловский Владимир Валерианович                      [0.021963] Кузнецов Андрей Владимирович                            [0.011813] Поляков Анатолий Викторович                             [0.000970] Албуров Георгий Валентинович
[0.001825] Образцова Алиса Сергеевна                               [0.094799] Давыдов Андрей Владимирович                             [0.006149] Мухин Юрий Игнатьевич                                   [0.021517] Сайдашев Радик Ромович                                  [0.011738] Стефанов Борис Александрович                            [0.000967] Смирнов Сергей Сергеевич
[0.001799] Смирнов Сергей Сергеевич                                [0.094511] Литвинов Георгий Александрович (Артём Драгунов)         [0.006079] Барабаш Кирилл Владимирович                             [0.021180] Прибыловский Владимир Валерианович                      [0.011438] Демидов Михаил Александрович                            [0.000967] Козырев Олег Вилисович
[0.001738] Колесников Сергей Владимирович                          [0.094128] Щербаков Александр Вениаминович                         [0.006067] Колганов Антон Юрьевич                                  [0.021154] Спорыхина Ульяна Викторовна                             [0.011023] Тюрин Андрей Владимирович                               [0.000967] Семенов Игорь Вячеславович
[0.001713] Шулипа Юрий Юрьевич                                     [0.093941] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.005862] Поляков Анатолий Викторович                             [0.020922] Эсауленко Дмитрий Николаевич                            [0.010916] Сухарева Татьяна Викторовна                             [0.000966] Прохоров (Шинфейн) Максим Геннадьевич
[0.001711] Крашенинников Федор Геннадиевич                         [0.093412] Осенин Владимир Олегович                                [0.005623] Спорыхина Ульяна Викторовна                             [0.020920] Овдиенко Игорь Геннадьевич                              [0.010648] Чупров Алексей Геннадьевич                              [0.000962] Романовский Владимир Геннадьевич
[0.001707] Блиндул Алексей Валерьевич                              [0.090385] Лавров Андрей Валерьевич                                [0.005438] Чернов Дмитрий Валерьевич                               [0.020546] Воробьев Станислав Анатольевич                          [0.010500] Самсонов Артём Анатольевич                              [0.000960] Галямина Юлия Евгеньевна
[0.001687] Русакова Елена Леонидовна                               [0.089870] Кузин Евгений Андреевич                                 [0.005323] Брусиловский Максим Анатольевич                         [0.020498] Ободина Стелла Юрьевна                                  [0.009867] Дровецкий Василий Валерьевич                            [0.000953] Пархоменко Сергей Борисович
[0.001686] Колюцкий Григорий Аркадьевич                            [0.089185] Некрасов Дмитрий Александрович                          [0.005207] Первушин Александр Сергеевич                            [0.020447] Мухин Юрий Игнатьевич                                   [0.009717] Шулипа Юрий Юрьевич                                     [0.000910] Ренёв Денис Владимирович
[0.001600] Романовский Владимир Геннадьевич                        [0.086463] Смирнов Сергей Сергеевич                                [0.005129] Семенов Владимир Матвеевич                              [0.017538] Семенов Владимир Матвеевич                              [0.009424] Семенов Игорь Вячеславович                              [0.000860] Лебедев Константин Владимирович
[0.001540] Овдиенко Игорь Геннадьевич                              [0.085979] Прохоров (Шинфейн) Максим Геннадьевич                   [0.005039] Мокшанов Александр Александрович                        [0.017263] Барабаш Кирилл Владимирович                             [0.009137] Гаврилов Андрей Игоревич                                [0.000854] Марянин Игорь Сергеевич
[0.001490] Кузин Евгений Андреевич                                 [0.085641] Курамшин Владимир Вячеславович                          [0.004979] Кузнецов Андрей Владимирович                            [0.017012] Бурашников Дмитрий Андреевич                            [0.008943] Малышев Владимир Эдуардович                             [0.000854] Янкаускас Константин Стасисович
[0.001487] Головин Дмитрий Александрович                           [0.084355] Сайдашев Радик Ромович                                  [0.004803] Будникова Софья Владимировна                            [0.016118] Зорин Константин Игоревич                               [0.008283] Крылов Олег Анатольевич                                 [0.000839] Шалимова Надежда Валерьевна
[0.001483] Сангаев Игорь Вячеславович                              [0.083909] Митюшкина Надежда Львовна                               [0.004770] Лавров Андрей Валерьевич                                [0.015070] Первушин Александр Сергеевич                            [0.008155] Спорыхина Ульяна Викторовна                             [0.000809] Верзилов Петр Юрьевич
[0.001463] Гарначук Владимир Федорович                             [0.079198] Блиндул Алексей Валерьевич                              [0.004745] Бадыкова Фиалка Ахмадеевна                              [0.015047] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.008127] Мухин Юрий Игнатьевич                                   [0.000797] Безруких Олег Анатольевич
[0.001449] Гребнева Ирина Георгиевна                               [0.078768] Колганов Антон Юрьевич                                  [0.004587] Воробьев Станислав Анатольевич                          [0.014631] Кудрявцев Федор Александрович                           [0.007375] Николаев Александр Александрович                        [0.000796] Дзядко Филипп Викторович
[0.001441] Крылов Олег Анатольевич                                 [0.077877] Косякин Константин Юрьевич                              [0.004288] Баласанов Андрей Евгеньевич                             [0.014461] Самсонов Артём Анатольевич                              [0.006933] Поткин (Белов) Александр Анатольевич                    [0.000796] Савостин Михаил Олегович
[0.001378] Галямина Юлия Евгеньевна                                [0.077833] Семенов Игорь Вячеславович                              [0.004234] Сайдашев Радик Ромович                                  [0.014123] Терегулов Артур Ринатович                               [0.006728] Павлов Владимир Георгиевич                              [0.000791] Коровин Вадим Александрович
[0.001375] Малышев Владимир Эдуардович                             [0.077283] Воробьев Станислав Анатольевич                          [0.003592] Иванов Андрей Геннадьевич                               [0.014092] Крюков Василий Анатольевич                              [0.006072] Агишев Ирек Абдулхакович                                [0.000775] Головин Дмитрий Александрович
[0.001308] Чернов Дмитрий Валерьевич                               [0.076149] Иванов Андрей Геннадьевич                               [0.003412] Крюков Василий Анатольевич                              [0.014010] Шулипа Юрий Юрьевич                                     [0.006006] Палчаев Аким Нажмудинович                               [0.000768] Первушин Александр Сергеевич
[0.001306] Путенихин Дмитрий Викторович (Матвей Крылов)            [0.076001] Агишев Ирек Абдулхакович                                [0.003319] Виноградов Сергей Николаевич                            [0.013754] Иванов Андрей Геннадьевич                               [0.005905] Каржаева Неонила Васильевна                             [0.000757] Русакова Елена Леонидовна
[0.001297] Терегулов Артур Ринатович                               [0.074731] Шнейдер Михаил Яковлевич                                [0.003303] Чупров Алексей Геннадьевич                              [0.013378] Стефанов Борис Александрович                            [0.005881] Андреянов Сергей Николаевич                             [0.000747] Малышев Владимир Эдуардович
[0.001279] Эсауленко Дмитрий Николаевич                            [0.074419] Терегулов Артур Ринатович                               [0.003296] Эсауленко Дмитрий Николаевич                            [0.013294] Курамшин Владимир Вячеславович                          [0.005716] Рафаилов Георгий Георгиевич                             [0.000740] Овдиенко Игорь Геннадьевич
[0.001276] Доможиров Евгений Валерьевич                            [0.072859] Мухин Юрий Игнатьевич                                   [0.003259] Стефанов Борис Александрович                            [0.013224] Баласанов Андрей Евгеньевич                             [0.005690] Давыденко Денис Вячеславович                            [0.000683] Крашенинников Федор Геннадиевич
[0.001248] Иванов Андрей Геннадьевич                               [0.072754] Студенова (Пелевина) Наталья Владиславовна              [0.003252] Мыльникова Марина Сергеевна                             [0.012956] Семенов Игорь Вячеславович                              [0.005385] Мицкевич Владислав Рудольфович                          [0.000682] Жиляев Арсений Александрович
[0.001176] Дергачев Вадим Александрович                            [0.072406] Ободина Стелла Юрьевна                                  [0.003025] Павлов Владимир Георгиевич                              [0.011578] Будникова Софья Владимировна                            [0.005122] Мыльникова Марина Сергеевна                             [0.000674] Кашин Олег Владимирович
[0.001171] Езеев Федор Андреевич                                   [0.067760] Шулипа Юрий Юрьевич                                     [0.003007] Ободина Стелла Юрьевна                                  [0.010713] Сухарева Татьяна Викторовна                             [0.005048] Крюков Василий Анатольевич                              [0.000626] Богомолов Юрий Александрович
[0.001133] Семенов Игорь Вячеславович                              [0.067331] Василенко Павел Владимирович                            [0.002975] Малышев Владимир Эдуардович                             [0.010164] Малышев Владимир Эдуардович                             [0.004709] Кузнецов Андрей Владимирович                            [0.000626] Наганов Владислав Игоревич
[0.001102] Янкаускас Константин Стасисович                         [0.065403] Кудрявцев Федор Александрович                           [0.002957] Крылов Олег Анатольевич                                 [0.010151] Павлов Владимир Георгиевич                              [0.004403] Печенев Александр Сергеевич                             [0.000626] Прибыловский Владимир Валерианович
[0.001083] Павлов Владимир Георгиевич                              [0.064143] Павлов Владимир Георгиевич                              [0.002953] Шулипа Юрий Юрьевич                                     [0.009320] Виноградов Сергей Николаевич                            [0.004313] Панибратченко Андрей Валерьевич                         [0.000604] Иванов Андрей Геннадьевич
[0.001018] Мыльникова Марина Сергеевна                             [0.063789] Гаврилов Андрей Игоревич                                [0.002929] Давыденко Денис Вячеславович                            [0.008680] Колганов Антон Юрьевич                                  [0.003530] Мальцева Анастасия Анатольевна (Анастасия Хрустальная)  [0.000569] Матвеев Михаил Николаевич
[0.000997] Самсонов Артём Анатольевич                              [0.063030] Стефанов Борис Александрович                            [0.002905] Марянин Игорь Сергеевич                                 [0.008597] Давыденко Денис Вячеславович                            [0.003455] Барабаш Кирилл Владимирович                             [0.000559] Осенин Владимир Олегович
[0.000892] Мокшанов Александр Александрович                        [0.062763] Давыденко Денис Вячеславович                            [0.002843] Самсонов Артём Анатольевич                              [0.008429] Чупров Алексей Геннадьевич                              [0.003362] Резчиков (Абанин) Алексей Романович                     [0.000549] Шнейдер Михаил Яковлевич
[0.000856] Моша Юрий Игоревич                                      [0.061674] Самсонов Артём Анатольевич                              [0.002720] Сухоруков Дмитрий Владимирович                          [0.008259] Крылов Олег Анатольевич                                 [0.003240] Поткин (Басманов) Владимир Анатольевич                  [0.000508] Езеев Федор Андреевич
[0.000799] Мицкевич Владислав Рудольфович                          [0.059650] Моша Юрий Игоревич                                      [0.002658] Семенов Игорь Вячеславович                              [0.007852] Шалимова Надежда Валерьевна                             [0.003205] Артёмов Игорь Владимирович                              [0.000501] Гуляев Сергей Владимирович
[0.000786] Доброхотов Роман Александрович                          [0.058236] Сухарева Татьяна Викторовна                             [0.002335] Гаврилов Андрей Игоревич                                [0.007769] Агишев Ирек Абдулхакович                                [0.003060] Василенко Павел Владимирович                            [0.000455] Билунов Денис Борисович
[0.000741] Первушин Александр Сергеевич                            [0.056560] Марянин Игорь Сергеевич                                 [0.002218] Прохоров (Шинфейн) Максим Геннадьевич                   [0.007730] Сухоруков Дмитрий Владимирович                          [0.002893] Шатов Станислав Николаевич                              [0.000398] Чупров Алексей Геннадьевич
[0.000688] Козырев Олег Вилисович                                  [0.056452] Первушин Александр Сергеевич                            [0.002203] Демидов Михаил Александрович                            [0.007494] Марянин Игорь Сергеевич                                 [0.002490] Виноградов Сергей Николаевич                            [0.000394] Мицкевич Владислав Рудольфович
[0.000641] Чупров Алексей Геннадьевич                              [0.055132] Мицкевич Владислав Рудольфович                          [0.002120] Блиндул Алексей Валерьевич                              [0.007092] Гаврилов Андрей Игоревич                                [0.002475] Колганов Антон Юрьевич                                  [0.000383] Гарначук Владимир Федорович
[0.000630] Ободина Стелла Юрьевна                                  [0.052853] Демидов Михаил Александрович                            [0.002090] Сухарева Татьяна Викторовна                             [0.006937] Демидов Михаил Александрович                            [0.002425] Радченко Всеволод Валерьевич                            [0.000341] Панибратченко Андрей Валерьевич
[0.000608] Шнейдер Михаил Яковлевич                                [0.052152] Малышев Владимир Эдуардович                             [0.001932] Панибратченко Андрей Валерьевич                         [0.006791] Глускин Владимир Александрович                          [0.002418] Савостин Михаил Олегович                                [0.000285] Бескоровайный Алексей Викторович
[0.000603] Ляскин Николай Николаевич                               [0.047777] Крылов Олег Анатольевич                                 [0.001913] Романовский Владимир Геннадьевич                        [0.006334] Мыльникова Марина Сергеевна                             [0.002095] Колесников Вадим Владимирович                           [0.000285] Доможиров Евгений Валерьевич
[0.000591] Ренёв Денис Владимирович                                [0.046656] Мыльникова Марина Сергеевна                             [0.001769] Агишев Ирек Абдулхакович                                [0.005586] Каржаева Неонила Васильевна                             [0.002063] Надеев Анджей Рашидович                                 [0.000271] Каржаева Неонила Васильевна
[0.000557] Марянин Игорь Сергеевич                                 [0.046533] Романовский Владимир Геннадьевич                        [0.001637] Шатов Станислав Николаевич                              [0.005429] Шатов Станислав Николаевич                              [0.002018] Шалимова Надежда Валерьевна                             [0.000171] Надеев Анджей Рашидович
[0.000527] Косякин Константин Юрьевич                              [0.042625] Шатов Станислав Николаевич                              [0.001500] Шалимова Надежда Валерьевна                             [0.005411] Прохоров (Шинфейн) Максим Геннадьевич                   [0.001659] Бондарик Николай Николаевич                             [0.000169] Ободина Стелла Юрьевна
[0.000402] Митюшкина Надежда Львовна                               [0.039012] Савостин Михаил Олегович                                [0.001303] Каржаева Неонила Васильевна                             [0.005309] Савостин Михаил Олегович                                [0.001451] Романовский Владимир Геннадьевич                        [0.000114] Митюшкина Надежда Львовна
[0.000382] Савостин Михаил Олегович                                [0.038025] Каржаева Неонила Васильевна                             [0.001254] Глускин Владимир Александрович                          [0.004967] Мицкевич Владислав Рудольфович                          [0.000810] Городенцев Андрей Геннадьевич                           [0.000114] Блиндул Алексей Валерьевич
