Id,Label,Curia,Block,x,y,z,m
1,Aver'janov Ivan, common, ,-4.55612497139326,1.18518876268753,2.51444686196979,-2.84240854980639
2,Agishev Irek, common, ,-1.61674296019817,1.35904337861484,-2.15951572195944,3.26806883233719
3,Alburov Georgij, common, sem_kandidatov_semi_proektov,3.23495098361009,0.933679173054673,0.797926701423821,-2.81487829194097
4,Aleksandrova-Zorina Elizaveta, common, ,-7.15413197077975,-1.34344697815442,-0.537828672055193,0.875496340713991
5,Anshakov Mihail, common, ,0.194498821170173,-1.17515436592853,1.39668494487017,-1.25977182128818
6,Ashurkov Vladimir, common, sem_kandidatov_semi_proektov,4.60219805082428,-1.42419278255607,0.805838981741354,-1.93206475613786
7,Babchenko Arkadij, common, ,1.43044054808923,-0.894790931361945,-0.880245457661373,-1.93742473476125
8,Badykova Fialka, common, ,-4.17132509681733,-1.18698074205737,-1.00171290298063,3.20475630354098
9,Bakirov Igor', common, belyj_blok,1.24218097473379,2.00469617029165,-0.0906444955176511,2.15331010872903
10,Balasanov Andrej, common, ,2.43359618747583,2.43539047231661,0.226670637220922,2.24202717499998
11,Barabash Kirill, common, ,-6.85851900321615,-2.84588723572578,0.863750706254165,-1.97229844003861
12,Baronova Marija, common, partiya_5_dekabrya,0.292291455656115,0.148271583512907,0.566038155491618,1.95605610297519
13,Bezzub Aleksej, common, ,2.83922055840027,3.97944765276769,1.19398458599326,0.0931783162811421
14,Bezrukih Oleg, common, ,1.67800894760756,0.275639173097957,-1.89931130956564,1.61306761772788
15,Beskorovajnyj Aleksej, common, ,0.983719619630857,2.23806466530597,-1.66047769536147,2.24043895340298
16,Bilunov Denis, common, partiya_5_dekabrya,0.333401812550595,-0.403090034291397,-2.07294595370115,0.595729870691883
17,Blindul Aleksej, common, belyj_blok,-4.14627020565472,2.95997199903174,1.04559411070268,-0.961883989395372
18,Bogomolov Jurij, common, ,2.19263254283576,1.3426780096019,-1.53935594071427,1.82754582452433
19,Brusilovskij Maksim, common, ,-1.93099149045541,1.35982644118755,1.74235595913422,-5.70194001831142
20,Budnikova Sof'ja, common, ,-5.38119248884883,2.38511548133683,-0.999834465766479,-1.22724906077019
21,Bystrov Andrej, common, partiya_5_dekabrya,2.40953812102184,0.803592541248693,-0.287787290175468,-2.22839407810878
22,Vasil'eva Elena, common, ,3.18941835899037,-1.67904018057409,-0.154749213015316,-1.91904967954263
23,Verzilov Petr, common, ,-0.708441168488333,-3.81580826554677,-0.548338574159868,1.54699941691256
24,Vinogradov Sergej, common, ,-1.6456538461063,0.51173613691932,-3.11607350138205,-4.13493516580472
25,Vinokurov Aleksandr, common, ,3.89567552070265,-0.22708891044664,0.475377911052886,1.71627850063898
26,Vituhnovskaja Alina, common, ,0.653614532148043,2.26599616946188,-3.88467098581985,0.0299260886114228
27,Vlasov Sergej, common, sem_kandidatov_semi_proektov,1.07426095160807,0.363311921627606,2.91917951509257,-1.26027553971331
28,Volkova Elena, common, ,-3.06203652952364,-4.86168122225585,0.310740014807936,1.0908799057829
29,Gavrilov Andrej, common, ,2.94724996102193,2.77732989705075,3.74587371140305,1.76346230172359
30,Gazarjan Suren, common, zelenyj_blok,2.54145499129289,-1.75366155606097,2.06509465827009,1.85925128046907
31,Galjamina Julija, common, partiya_5_dekabrya,4.15657366366715,1.04758787966015,-0.0637535644820478,0.721545814563917
32,Garnachuk Vladimir, common, ,3.68891153578554,-0.441815267351579,1.32696747490949,0.975203309192991
33,Gel'fand Mihail, common, grazhdanskaya_platforma,4.85932512488202,0.398145915236036,2.2201235138957,2.44145935638377
34,Gluskin Vladimir, common, ,-5.744844692799,2.90119227982046,0.937203060107066,-0.574760464407097
35,Golovin Dmitrij, common, ,3.53165615423715,1.29409049875573,0.319500058376639,0.282516409980532
36,Gongal'skij Maksim, common, ,0.242742633873756,0.00566279527689406,5.93400752284793,-0.572248953681566
37,Gornik Aleksandr, common, ,1.45284388943162,0.073948294020594,6.18858845009455,-1.13996507734662
38,Gotsdanker Aleksej, common, ,2.22057465409653,-0.0707469255963081,-1.56056150976524,-2.71326507457454
39,Grebneva Irina, common, ,2.87505442733699,-0.48961424236909,-1.32544452441494,2.09720095330188
40,Gudkov Dmitrij, common, obnovlenie,0.413075860036479,-1.20768413755711,2.10664013186577,-0.151067767608155
41,Davydenko Denis, common, ,-4.47827963216878,0.271166236211629,-1.49920119527395,-2.5970072889604
42,Davydov Andrej, common, ,-2.14986544360213,0.600280923278458,3.03614378861569,3.76016718267818
43,Degtjar' Ivan, common, ,-0.814892923092801,2.62547876414296,0.964077008727586,0.447554041352954
44,Deljagin Mihail, common, ,-4.53670710455294,-0.76712751516731,2.98950687475224,-0.816536854378319
45,Demidov Mihail, common, ,-0.451496821724799,0.872622216868114,1.71225147637039,1.75682768161526
46,Dergachev Vadim, common, ,4.67065362472592,-1.32516966651867,-2.9576865552459,-1.99943337162643
47,Dzjadko Filipp, common, grazhdanskaya_platforma,3.39197910155972,-1.73446227220775,0.111557682069834,2.74130477618684
48,Dobrohotov Roman, common, partiya_5_dekabrya,3.72660773661029,-3.61136387993114,0.328512755468903,-1.40370830217658
49,Domozhirov Evgenij, common, ,0.846798048172725,-0.0773824250108182,-1.77553638597594,0.190803333923004
50,Ezeev Fedor, common, sem_kandidatov_semi_proektov,-0.0759537964769154,4.20601367949179,1.26499160351058,-1.40394709855706
51,Zorin Konstantin, common, ,-4.56661157263587,-1.7221469834636,3.93091118428385,-2.15779363275555
52,Ivanov Andrej, common, ,-0.15636653267018,1.04768710655813,-0.288802403543688,-0.705011650937976
53,Illarionov Andrej, common, ,4.64101607843066,0.431225657188666,-2.47443509863457,-0.211065855242771
54,Kara-Murza Vladimir, common, ,4.54809867427951,-1.23706973400183,-1.06041095658609,0.944408560013275
55,Karzhaeva Neonila, common, ,-1.46751569743719,0.22426925434985,-1.34233243920304,-1.1352662487513
56,Kasparov Garri, common, obedinennyj_grazhdanskij_front,1.42087905135642,-0.588603312094598,-3.22794861311357,0.932008754110315
57,Kac Maksim, common, ,4.57676675097029,0.325554498705499,3.4213332247865,0.0226684214044622
58,Kashin Oleg, common, ,4.33125983324638,-0.354939692507412,-0.767330963813757,1.62792300546734
59,Kozyrev Oleg, common, zelenyj_blok,2.38143946162836,-0.854262839562619,0.466227635544022,-1.3848854016243
60,Kolganov Anton, common, ,-6.85960441841479,0.814215305342723,-1.65512083105339,-0.408670231448215
61,Kolesnikov Sergej, common, ,2.95915320788324,-0.104305651692197,-0.424816308092845,2.18892962674295
62,Kolchincev Vadim, common, ,-3.46034991939829,-0.368569656388068,-3.018670129532,-0.922146183559453
63,Koljuckij Grigorij, common, partiya_5_dekabrya,-2.86422501784793,-0.0884449710623588,-1.81868026553669,-0.397505402278051
64,Korovin Vadim, common, progressivnyj_blok,2.91102985417643,1.42369304672668,-2.97597800582429,-0.27857596645295
65,Krasheninnikov Fedor, common, sem_kandidatov_semi_proektov,1.88467706404056,2.19270295353178,-1.09174412477439,1.64192956028428
66,Krylov Oleg, common, ,2.43715005393146,-1.23488912487031,1.80837497343694,-4.58391024482152
67,Krjukov Vasilij, common, ,-2.97401434904586,1.81126336129738,-1.16273074961631,0.319698643099834
68,Kuzin Evgenij, common, ,3.42679273149295,1.70473287424533,0.254187553662215,-0.44564535470106
69,Kuznecov Andrej, common, ,-0.594189459040524,1.67247692922823,-0.945931865886492,-2.09218864533458
70,Kuramshin Vladimir, common, ,-2.14281053734644,0.339065854476755,3.93078619680108,-0.976968195820993
71,Lavrov Andrej, common, ,3.42057428974487,0.79035895317357,-0.169270858714649,-1.74893238045029
72,Lazurenko Severskij, common, progressivnyj_blok,3.80753269453524,0.0852351262909248,-0.620414704006005,-1.11177554541855
73,Levchenko Ekaterina, common, ,1.33068042174674,1.11309124494926,0.814627742291993,1.33963221299525
74,Levshic Nikolaj, common, ,-1.44689369176947,-0.329803275033625,2.18591713643197,0.0290841828521419
75,Litvinov Georgij, common, ,-0.0526754596785357,1.79923493120259,1.39748967810897,2.88154678231694
76,Loskutov Artem, common, ,0.983018996253811,-1.41179281078274,-0.370675371801022,3.34731393093786
77,Luk'janova Elena, common, ,1.18349669046792,0.563772104299887,1.57914177957157,-1.5037464850208
78,Magkoeva Bella, common, ,-1.95941735139149,-6.04606115404479,-1.4357045147015,0.732741308869878
79,Malyshev Vladimir, common, ,1.7733306623619,0.631181008826084,-1.95195095819554,-1.07968422095384
80,Mal'ceva Anastasija, common, ,-1.62219653508808,-3.20972305374801,-2.12088857219022,0.484276929063822
81,Marjanin Igor', common, ,1.87778361594283,0.380258293102702,2.01851479886112,-2.48790829526447
82,Matveev Mihail, common, ,-5.25358844279032,3.03255381756363,-0.47499132174355,0.610810108640796
83,Mirzoev Vladimir, common, grazhdanskaya_platforma,1.64519018830492,0.216417598341635,-2.95642042637808,3.67154174101652
84,Mitjushkina Nadezhda, common, ,2.44664028886539,-2.46704658075197,0.288750916473643,-0.385261614693279
85,Mokshanov Aleksandr, common, ,2.20084601377824,3.3792072202073,0.407998863643701,0.901332851607151
86,Mosha Jurij, common, ,3.21049799866667,-1.53010320542065,-1.21352696845431,3.07762092008598
87,Muhin Jurij, common, ,-4.8876896997472,-4.76683208156658,0.838621795381084,-2.18868270514555
88,Naval'nyj Aleksej, common, ,1.52736511376756,1.36772088456469,-1.66596452717418,-2.63348967382094
89,Naganov Vladislav, common, zelenyj_blok,-3.00884800715024,1.87582406487973,1.12867362360135,0.495494885160809
90,Nadeev Andzhej, common, ,-6.19887074212073,2.00745303654106,2.75534947254912,1.12333802692587
91,Nekrasov Dmitrij, common, obnovlenie,4.61857594379835,2.20955680800108,4.01759904235734,0.63703243096281
92,Obrazcova Alisa, common, ,2.2155019506103,-1.44928574094196,1.17202498503839,-2.39737850157612
93,Ovdienko Igor', common, ,0.96135049003739,1.61542312106426,1.3654024297801,1.78923653713944
94,Ol'shanskij Leonid, common, ,-4.2159881722171,0.612656539757044,4.52045571414375,-0.450176057819254
95,Osenin Vladimir, common, ,5.03408479995231,-0.212128022855457,-1.37796536068549,-2.89260309246015
96,Otstavnyh Valerij, common, ,-0.714663713395495,-2.94637375356186,1.45126883480224,0.988757777865857
97,Panibratchenko Andrej, common, ,-1.77918444701074,-1.5735880697226,2.36943356561208,0.404093405640392
98,Parhomenko Sergej, common, grazhdanskaya_platforma,5.33338237121937,0.103337224347089,3.12463766864998,-1.21763545158735
99,Pervushin Aleksandr, common, ,4.12126357148426,-2.61666874806172,-3.6777436224934,-1.7178087898503
100,Petrechuk Larisa, common, ,0.740279320695744,-0.529715675576221,1.50427983935833,-0.958005399907503
101,Piontkovskij Andrej, common, obedinennyj_grazhdanskij_front,0.199447555694681,-1.00067445189462,-1.90799274154372,0.689664329592555
102,Poljakov Anatolij, common, ,-5.61437822481428,2.66888719455916,-0.783037442071117,1.19069145481126
