name,score
Медведев Кирилл Феликсович,243
Бескоровайный Алексей Викторович,1169
Аверьянов Иван Александрович,346
Колесников Вадим Владимирович,199
Крюков Василий Анатольевич,174
Кралин Владлен Леонидович (Владимир Тор),639
Константинов Даниил Ильич,610
Александрова-Зорина Елизавета Борисовна,359
Давыдов Андрей Владимирович,331
Шац Михаил Григорьевич,1485
Крылов Олег Анатольевич,285
Прохоров (Шинфейн) Максим Геннадьевич,186
Палчаев Аким Нажмудинович,136
Бабченко Аркадий Аркадьевич,793
Колесников Сергей Владимирович,615
Стариков Иван Валентинович,436
Бакиров Игорь Вакильевич,204
Коровин Вадим Александрович,1042
Рафаилов Георгий Георгиевич,304
Стефанов Борис Александрович,271
Зорин Константин Игоревич,270
Лазуренко (Северский) Артем Сергеевич,789
Адагамов Рустем Ринатович,607
Спорыхина Ульяна Викторовна,339
Петречук Лариса Леонидовна,227
Пархоменко Сергей Борисович,923
Смирнов Сергей Сергеевич,484
Образцова Алиса Сергеевна,346
Самсонов Артём Анатольевич,341
