"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25"
"q1",0.104683620567847,-0.163574777723318,0.0536549954384189,-0.256786197697051,0.0387746375404413,0.252888064733747,-0.132955500928544,0.179480521533949,-0.0909181337365534,-0.229722061348602,-0.181657338230778,0.318353944236808,0.13800546875971,0.569597653596758,-0.0952237225628407,-0.0793477056652714,0.146994153867753,0.0705795067052993,0.0586346037857032,0.387775497338149,-0.158639023391938,0.0617923464018109,0.066663358884005,-0.0827306422061986,0.0566849950743985
"q2",-0.299022364201302,0.0149370442225614,-0.0286559760920303,-0.054484831972986,-0.156046467028615,-0.00924551376124962,0.0574573834086729,0.0834355216291567,-0.0848012125710004,-0.201001324630276,0.299124059969706,0.489618115325651,-0.169882658179758,0.0912546547636146,-0.0738631354159532,0.199411315220382,0.226625625184611,0.0548141651070541,0.158870275130604,-0.393193674099494,0.353278900123307,0.158004820305357,0.122628638756096,0.115898242577688,0.0150133331868332
"q3",-0.216719584940796,-0.181983370985159,-0.315915401286975,-0.100801320706099,0.222244527217014,-0.136360889572368,-0.370121915069584,0.10665617980953,0.262886214040198,-0.217518534187672,0.224550684625334,0.208178095452113,0.103088361811214,-0.301694364999466,0.159329548270037,0.271685466313288,0.00388618145198895,-0.153612475234108,-0.239047728857362,0.237171097461597,-0.149162539847648,-0.139421139798201,-0.0355711417926192,-0.0139132437896412,0.0491516822441912
"q4",-0.0531593473624152,-0.167361309050303,-0.108162977398798,-0.15044879097102,-0.100435721979602,0.232934776367641,0.130552249780716,-0.815911225572186,-0.0892158905858318,-0.247725157254783,0.124465728414274,-0.0767392409303517,0.226826343907274,-0.0386010491439525,-0.0108631450953065,0.12427156916903,-0.0555460341033162,0.0852851604560364,0.0458922546485561,0.088131415815093,-0.00528337200316926,0.0583249212215496,0.0151125908062549,0.0659064016823912,0.0169057786468027
"q5",-0.0392232378947599,0.145611199622139,-0.368852901210124,-0.186350649239739,0.132602696260826,0.119786923967603,0.0729076246553483,-0.257578643056047,0.151643780862674,0.281144144377082,-0.181252221099838,0.378843899369856,-0.193399714672963,0.0292318759234479,0.135614392099099,-0.492160916034171,0.0166529308743536,-0.303150165833936,-0.131500658213335,-0.109654089491896,-0.0109211977108209,0.0345754524207638,-0.0115080850925545,0.0501694197203758,-0.0119492309831554
"q6",-0.285601196903439,-0.0204524693267657,0.117913292249626,-0.300891515216256,-0.0402125178557592,0.0750728677362048,0.0825835430858282,0.176755270724516,0.204561472665568,-0.179582512379708,-0.252207248728322,-0.00705723841369157,0.146752641029555,-0.351983237694577,-0.129192398902094,-0.184640709292094,-0.31580370615056,-0.135327025127611,0.550484240066699,0.0641878445935908,0.0818283063650271,0.0346778730732571,0.0141038962821778,0.013040040522306,0.0287788614663409
"q7",-0.262499168948281,0.117931335966433,-0.176006595715749,-0.098817720951092,-0.369765051106419,-0.0716612636966261,0.38112749198556,0.170362505058065,0.458850978299987,-0.116470324827395,0.0925254561556777,-0.254871367244987,0.144753782062611,0.222063365241361,0.0459881623343147,-0.143326191241426,0.0654612122813734,0.170936186638082,-0.328344008032972,0.120954953683689,0.0427080451023664,0.0569258923256318,0.0471669818789877,0.080548562631821,0.00504400342593245
"q8",0.0205948132810083,-0.111684882718908,-0.0228607129979893,-0.0915754480760415,-0.0836638915421507,0.100598432730277,0.0561235800135718,-0.0227547832520928,0.128985462475844,-0.109052084336829,-0.00201542683941113,0.0475657882610741,-0.0410487592662298,0.0187160618275723,0.0249041319570058,-0.0161312744031137,0.0252867284567286,0.100174193754569,-0.000316564537622972,-0.226174349229908,0.0695211805537599,-0.325964075264332,-0.251974347167596,-0.733608085775225,-0.386144464540399
"q9",0.203183545416336,-0.128181171973354,0.00360534333083049,-0.151020413888964,0.0443984612289418,0.0475270201331421,-0.0660933507337225,-0.00858540311244157,0.127597143749114,-0.0955411540900075,-0.195443247250598,-0.0965035265240677,0.00967034499220265,0.0484448483895823,-0.0531132476943708,0.0589225574445509,-0.0948165815212246,-0.0307186940467747,-0.158717517514922,-0.2919592369864,0.175176059766027,-0.462616136400585,0.657632618868163,0.0599510744409269,0.167331842217537
"q10",0.222516695761389,0.00447269759239564,-0.336521221205987,0.0235319799687586,0.135036933082694,-0.449864389492343,0.415290681413998,0.0614253421310565,-0.271221792059764,-0.411797622028669,-0.339850156028102,0.0922838710220515,0.0444884160445101,-0.138860143363653,0.0981373484067431,0.00869730384964963,0.113748883072603,0.101846736020923,0.0375643932042939,-0.0519122724899685,-0.111567095547757,0.0401369903253341,-0.00783690940299516,-0.0112691270429725,0.00534795449128804
