"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25"
"q1",0.0752153998887946,0.0235570727854382,-0.0599729540016606,-0.194197121040003,0.390716654636738,0.400796838625338,-0.300027088674089,-0.0994271647183844,-0.0504511706098005,0.136348478857561,-0.298244883350038,-0.138903795361704,-0.277566922550581,0.184081594972014,-0.176667744167199,0.0817269549265194,-0.0114083128555922,-0.247066848625227,-0.229959347244973,0.0645944636777613,-0.0699404480082923,0.0758785835998853,-0.176294020404463,-0.316510333811979,-0.0307337509502393
"q2",-0.313096533969045,0.00673665155380376,0.0434688608859103,-0.134481758576605,-0.194309509503889,0.115734159883171,0.0516679786905098,0.0372177441886256,-0.192461505005108,-0.30654301517282,-0.253893100926885,-0.0143396783708787,-0.0928431623116126,-0.24837381908403,0.215275216147859,0.0644942448547805,0.292891548999362,-0.0966293877062705,-0.2357308351053,0.392519174387147,-0.250574076243456,0.203282754301542,0.30448398490841,0.0794762936227459,-0.0485180644534797
"q3",-0.185183685020956,0.334574073220226,0.211656151685728,0.124844485653836,-0.00937762447604399,0.416966818326336,0.185644819492019,0.207638600246088,-0.177479199008129,0.131387321930038,0.0352414463751369,0.235856544656417,0.258093113485268,-0.268467475289045,-0.272820525316334,-0.141162570751399,-0.172644820032087,-0.0993459607510221,-0.156628675549975,-0.131207549683305,0.223833940750986,-0.0256497598702127,0.189017859581161,-0.175616723115095,0.0665342473932081
"q4",-0.0292144307743852,0.108113871321127,-0.139049381514515,-0.309395317992002,0.300411165199486,-0.24067617338851,0.262002644708873,0.313036626721473,-0.502748685302366,0.249904916714166,0.311502968284819,-0.192338918428276,0.0523046908781367,0.109211020226569,0.161625767918229,-0.0147281528195783,0.209580123537018,0.00981835612425109,-0.10455613457561,-0.016246581739809,-0.0385484132553018,-0.0362151995861458,-0.0147371848560222,-0.0938387842503489,-0.0176697717152016
"q5",0.0119649145845944,0.0652514095451821,0.383969392926993,-0.104715255765693,0.0973418829558654,0.186552053779978,0.00224087091387147,0.309356149540287,-0.119922911981321,-0.551374826495502,0.120478932713085,-0.096819154737329,-0.136398476001336,0.389512980406716,-0.166794512212591,-0.0729587756860498,-0.117330747998026,0.241056205901969,0.229535879197937,0.0880812826233543,-0.0297744808248087,0.0131723485645504,-0.0488822401548959,0.082318286108111,0.0944425516839095
"q6",-0.171418219607893,-0.0260648130141455,0.0516706486235049,-0.105966560053373,-0.0632563718264806,0.195860553540638,-0.00301792589124344,-0.185684128813644,-0.0920389219971036,0.0666027681301511,0.222235096636336,-0.132302404227886,0.0629384468900389,-0.429183775274357,-0.272226664492449,0.179638851384619,0.138490581871097,0.344579083640022,0.160186967248235,0.118002482398339,-0.161375170639437,0.00159186018400353,-0.523737488870707,0.00664842985237362,-0.164200660831315
"q7",-0.220814084957453,0.00976852074386282,0.213333214519684,-0.0558965983436161,-0.110488839205403,0.206639911985076,0.035855151786959,-0.554001307229335,-0.169947979311947,0.0225884125359783,0.126698085808534,-0.316466131998342,0.0454811623525779,0.163538239230578,0.328137708569198,-0.180531474559894,0.0840188011448968,-0.146156689137186,0.259868010424644,-0.158853551557324,0.276431292565234,0.102381833518349,0.0621902818050782,-0.0976513865910366,0.0569018787536417
"q8",0.074344350646647,0.140100717421769,-0.0709717259327089,-0.161946356864066,0.045346231711534,0.13301931532609,0.0285150446097928,-0.16149946985283,0.0501627239948751,-0.0606709854694121,0.114300624407124,-0.0648400441835341,-0.0341567660953048,-0.111539052925855,-0.045376752526024,0.172345705629172,0.0956101646265567,-0.161792091661579,-0.0767091004818941,-0.0390977822803795,-0.122546448190212,-0.434506951387341,0.0248597334249766,0.32320190614448,0.690273363123291
"q9",0.282667774821145,0.125699760272186,-0.0923405945015074,-0.189332279703282,-0.0226886767587585,0.256325798249595,0.198784139859642,0.1673227959961,0.520627679790554,-0.0646454518869186,0.278933156548305,-0.0335604907760434,-0.0572304682091111,-0.0660077240463083,0.149427480960977,0.144626489276173,0.320751228093872,-0.00333592641662044,0.0118819084276695,0.173547053665209,0.360324243553688,0.154622430818771,0.0442220277854041,-0.171594956222349,-0.0534881254580765
"q10",0.257557682970934,0.0972719476360441,0.207173062394658,0.385951664836021,-0.127523830230982,-0.0662658272834741,-0.285818219757151,0.131544538783416,-0.0399245065748327,0.0560271753159157,0.162399855201479,-0.565806784940083,-0.18728631138946,-0.22921413001612,0.00542316191701992,-0.234754623767421,0.0363791640402188,0.0164718325021832,-0.272535663678687,0.106247600759052,0.0398865352608782,-0.150978892861006,0.0699358547976906,-0.000110297422259441,-0.0473208899872916
