"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25"
"q1",0.097094904591067,-0.0122175491327417,0.10664631108231,0.188311500884954,0.529498528509392,-0.206869727656251,-0.207042624188099,0.166002785188862,-0.186751478158498,0.0140442225834384,0.393940421977027,-0.0966219151344499,-0.109417146618271,0.133907010602444,0.247500170788166,-0.176718111576212,0.047093161388206,0.256264854480014,-0.11375704088426,-0.0582247728216652,0.0451195072777413,0.0123621454960759,-0.352756276564232,0.112526247739731,0.0671290187272002
"q2",-0.323980096517534,-0.0113353572274885,-0.100696447152269,0.118279310157068,0.0174171174275111,0.147386664275024,0.134335723636284,-0.0508495741954071,-0.089532564561052,-0.290165218494665,0.0905270963345723,0.169101067135329,-0.0178001026810701,-0.194851184892585,-0.199903023167129,-0.105694623811488,-0.109384169658319,0.417017741948205,-0.449472889716833,-0.267480470747084,0.267887711050397,0.011813011884521,0.262526320374034,0.066427581367051,0.0708913690015731
"q3",-0.184779661618063,-0.375630081504262,0.11901403575978,-0.117229314867385,0.339973930332608,0.0313780442403285,0.293895894311868,-0.187443882062536,-0.117649672717966,0.180902933559248,-0.282559482870974,0.208520963483832,0.283635583321138,-0.16743144811564,0.243818717195559,-0.0658715510192368,0.177079464404091,0.113201907903829,0.110621614784563,0.175538529457778,-0.0343936002907324,0.0286836063022969,0.0424711840563994,0.339038940053339,-0.103139582573529
"q4",-0.0445423871571631,0.0374067630257882,0.159682420726223,0.305217562254307,-0.188763740422092,-0.498911273159986,0.0704158870024596,-0.2060615974852,-0.48526071024946,0.0918263324948791,-0.360854967896031,-0.147988612971084,-0.0766907190934198,0.122660052805543,-0.22917268942997,0.113459803878717,-0.115033647013165,0.116204617840109,-0.0996017474038462,0.127472006019095,0.0218957010172855,-0.0290980340327547,-0.0957550315923165,0.013721921644659,-0.00774631324828384
"q5",0.0120981055089612,-0.317706172385061,-0.216373735197535,0.156772161894464,0.24135265694187,-0.0240991133603009,0.0485391997931857,-0.163887795322581,-0.0525398948487431,-0.61789131920185,-0.140868479933518,-0.039095274589926,-0.127936670484653,0.293062640425275,0.138807351426987,0.170208992532851,0.0682892452970399,-0.374630777990234,-0.0798455892712728,-0.0992473789390655,-0.0829156624344171,-0.00391784168179329,0.0548388049922633,-0.0603794108740082,-0.0909905588645918
"q6",-0.176571535813501,0.00853308087692151,-0.0991843181711478,0.11164679121644,0.131681939925277,0.114194748828629,0.072355437560712,0.196791292328487,-0.0457628476001446,0.178506638752833,-0.288899605539309,-0.0587337381180842,-0.0940862953201399,-0.458674633893565,0.152094444880764,0.00536047006946101,-0.132393428177266,-0.339866186184065,-0.316371003117854,-0.060562647975758,-0.0426602886431925,0.159999665193965,-0.355600010289463,-0.275284402732437,0.205885155542035
"q7",-0.230111935155212,-0.148179206197796,-0.1966254572447,0.0384040749742991,0.108719336502335,0.151041557219745,0.127776700642093,0.524106143164345,-0.1779302729387,-0.0486090653144679,-0.0436770107857104,-0.231208767341267,-0.146407602009821,-0.022613375696779,-0.281949891525531,0.251322187261547,-0.0899340710332171,0.169929774280188,0.490341736054287,-0.0606938226220114,-0.0481409370456525,0.0545556588984484,-0.0367744493973869,0.128827837173011,-0.031451527487402
"q8",0.0714296781206596,-0.0484113086080299,0.114311495983424,0.191802633245553,0.107878741494806,0.0267651375153369,0.0761096070547995,0.20742120051267,0.144238806463092,0.0243688580910447,-0.08317339866427,-0.0280730673386319,-0.124194210778476,-0.0986806729939878,0.0769025194445167,-0.123390231656787,-0.166090380211892,0.159792389329565,-0.105744420041107,0.204997767652522,-0.0817430023299078,-0.272450594494121,0.146831710511342,-0.342260137623402,-0.692953215543854
"q9",0.280525089968065,-0.0280687613800719,0.172610801590622,0.220921895979795,0.165691365336736,0.0666646111611676,0.303266114298389,-0.0987423471742605,0.477934056099238,0.154947875486262,-0.104597270562292,-0.0692991748412982,-0.200184808183565,0.133063281861503,-0.229481626795696,0.0535333698138577,-0.249986223361073,0.051487738463896,-0.134975642360983,-0.166882444743372,-0.241614193036006,0.217143239137017,-0.0170285599004129,0.321940183092373,0.0783717052439309
"q10",0.268506455687931,-0.201426154982314,-0.0675363322572634,-0.372699083330588,0.0435004138415746,0.148420548179119,-0.240709971511612,-0.18305837022006,-0.0991038267187129,0.0457777618489698,-0.130189679758172,-0.297616465032617,-0.470769316861145,-0.234764369562318,-0.0546623957677339,0.155863581592288,0.258536397425029,0.25212686626327,-0.197950299798651,0.113343461283813,-0.0896921048479244,-0.0659606409704731,0.0922027079030358,0.0203727971942478,0.0572703037091114
