"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25"
"q1",0.102778179471052,-0.162737186658179,0.049033253957901,-0.258580951797923,0.0319165339747949,0.245520629870247,-0.134423681998921,0.190297220664014,-0.0670252624806725,-0.255982019112738,-0.173592834952195,0.335799203990298,0.257930211266511,0.50675496635611,-0.143500073740194,-0.0531535655156105,0.152601610948714,-0.091969521412277,0.0670616707334857,0.360030045035614,0.171795597632132,0.0455950974970541,0.0999916991819238,-0.0926012634227877,0.0491084726316853
"q2",-0.300224303400405,0.0158219752183871,-0.0288374031146933,-0.0560761708778024,-0.158600047424471,-0.0148705786189368,0.0620452797515522,0.0760376144805581,-0.0718643085484648,-0.192874925297202,0.309993062899556,0.479949713769374,-0.156224795005202,0.0854654041544987,-0.118713427457559,0.206215733977398,0.216249461233764,-0.0451610864691354,0.148630213327631,-0.39545569122338,-0.364555642369126,0.146904491264368,0.131253023499432,0.117682985083873,0.0255655982689496
"q3",-0.21487258543014,-0.179259728549661,-0.327495137945094,-0.0881554492405444,0.218985735046406,-0.135557260222494,-0.36608316561756,0.126139075979039,0.272200345272446,-0.184566961756809,0.254093805721424,0.177552724602148,0.0453130241690288,-0.320026615646204,0.141562769526055,0.275860928316024,0.0259661451922854,0.15478707898696,-0.236903685286664,0.235672653659069,0.159797067932491,-0.13798293977735,-0.0433181564274269,-0.0261563122533556,0.0460798815794315
"q4",-0.0514744668508737,-0.166685837660705,-0.107369265081055,-0.150854291772908,-0.105516032220745,0.237304733589025,0.107950056210338,-0.818012710237039,-0.0244965809522936,-0.255256085869282,0.130865043062561,-0.0940531645173479,0.2131118173164,-0.0759603900305023,-0.0260437389723791,0.127630330718834,-0.0542938748772919,-0.092745802555143,0.042344942836517,0.077428427300833,0.0134118644758351,0.0502932411084119,0.0253666200937138,0.061924315165411,0.025075943904505
"q5",-0.034265951810516,0.14820948252658,-0.377049051176546,-0.17532997825482,0.127779925177128,0.121681984939202,0.0646182753008179,-0.254192391442756,0.151012424051155,0.269345563141429,-0.184777050048183,0.40878681008725,-0.149416773333962,0.0773575820927862,0.193179185520855,-0.480228906891742,0.0258235851540341,0.293479201093719,-0.110054545807787,-0.0851870907604364,0.000249830618121831,0.0522930907116763,-0.0171067236421525,0.0438155960957078,-0.00826507245446315
"q6",-0.282210011850464,-0.0182331601530006,0.104655282261723,-0.301735269063999,-0.0438967225160565,0.0623886860745758,0.0812151428746353,0.186727650149926,0.220164907039929,-0.17049277987163,-0.22929757108578,-0.0186624494029594,0.0819144306622415,-0.38367556810506,-0.0656593926064238,-0.199911586781589,-0.323173428672222,0.105230554819928,0.558700968000723,0.0738047746311165,-0.0791658028813632,0.0295750269393732,0.0242493188192339,0.0168773988640823,0.0310449713548507
"q7",-0.261640392571675,0.117845687347524,-0.171167694964411,-0.0903329399700964,-0.380282525601424,-0.079064598524703,0.387581874496271,0.186921083190448,0.442928859027784,-0.0668159753030904,0.0961865988129764,-0.251206582937819,0.189915449358305,0.203880592958866,0.038826273129061,-0.134922420342762,0.0652349401995232,-0.164089867128655,-0.339919020960026,0.113007047515052,-0.0353270551363276,0.0428421592034917,0.0688724237558263,0.0797011951366196,0.0119849571825742
"q8",0.0216711337805777,-0.113536287512698,-0.0222901718536987,-0.092404406619687,-0.0904969854221847,0.0983108741953296,0.0545708306335718,-0.00945129723251728,0.142528789485051,-0.0979233923927655,0.00458506268875259,0.0416079550802458,-0.0334531286524654,0.027133905241785,0.0171724405698091,-0.0122686126940985,0.0219485493011493,-0.0871582743781207,0.000125595489947547,-0.228372908299492,-0.0776998451925243,-0.280823593285922,-0.305277255104758,-0.680463905531248,-0.470498627471504
"q9",0.206758596473589,-0.128893572238756,-0.00350978196494967,-0.153670918919439,0.0417950354443178,0.0436747362421555,-0.0763051846771118,-0.00346967844283128,0.141345284620788,-0.0866508958291533,-0.193663934558236,-0.0987120256927494,-0.00534074800611681,0.0392504333165128,-0.0604099534698758,0.0422251888594074,-0.107844916723623,0.0701493499182869,-0.167453975480193,-0.319549295242894,-0.182343568874394,-0.528489246196931,0.580604562418003,0.0351309210517355,0.167908871718432
"q10",0.225214638168971,0.0056379162256847,-0.331633919711185,0.0462787927052064,0.149660026551846,-0.432569812275049,0.425262759022765,0.0397966315958563,-0.221619388157463,-0.458958929057752,-0.321262403686226,0.0790768178928539,0.0148063735460204,-0.149827066739862,0.0929275601716751,0.0244799892613752,0.129344273277419,-0.093539206864913,0.0330114687678107,-0.0640677303010804,0.107785753403625,0.0383587310495093,-0.00393169086392516,-0.0146378143471421,0.00779090680586802
